"Refid","refID"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign110","CSnr_Lachrymation"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign111","CS_Regurgitation"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign112","CSnr_Regurgitation"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign113","CS_Other"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign114","CSnr_Other"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign115","CS_Ataxia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign116","CSnr_Ataxia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign117","CS_Alopecia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign118","CSnr_Alopecia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign119","CS_Huddling"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign120","CSnr_Huddling"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign121","CS_Lameness"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign122","CSnr_Lameness"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign123","CS_Vomiting"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign124","CSnr_Vomiting"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign125","CS_EyelidsOedema"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign126","CSnr_EyelidsOedema"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign127","CS_OralLesions"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign128","CSnr_OralLesions"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign129","CS_Lymphocytopenia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign130","CSnr_Lymphocytopenia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign131","CS_EncephalomyelitisEncephalitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign132","CSnr_EncephalomyelitisEncephalitis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign133","CS_OcularLesions"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign134","CSnr_OcularLesions"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign135","CS_OroNasalLesions"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign136","CSnr_OroNasalLesions"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign137","CS_LimbsParalysis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign138","CSnr_LimbsParalysis"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign139","CS_NotReported"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign140","CS_SkinLesions"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign141","CSnr_SkinLesions"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign142","CS_Leucopenia"
"ClinicalSigns
Particular health status of animal. Please check any box with reported clinical signs, and then use the text box to enter HOW MANY animals showed that specific clinical sign. If using \Other\, please remember to describe the clinical sign143","CSnr_Leucopenia"
"sampledMatrix
Tissue sampled for testing -> adrenal gland","matrixAdrenalGland"
"sampledMatrix
Tissue sampled for testing -> artery","matrixArtery"
"sampledMatrix
Tissue sampled for testing -> bladder","matrixBladder"
"sampledMatrix
Tissue sampled for testing -> blood (Animal blood)","matrixBlood"
"sampledMatrix
Tissue sampled for testing -> Blood serum","matrixSerum"
"sampledMatrix
Tissue sampled for testing -> Bone marrow","matrixBoneMarrow"
"sampledMatrix
Tissue sampled for testing -> Brain","matrixBrain"
"sampledMatrix
Tissue sampled for testing -> Carcass (Animal carcase)","matrixCarcass"
"sampledMatrix
Tissue sampled for testing -> cervix","matrixCervix"
"sampledMatrix
Tissue sampled for testing -> coronary band","matrixCoronaryBand"
"sampledMatrix
Tissue sampled for testing -> CSF","matrixCSF"
"sampledMatrix
Tissue sampled for testing -> Esophagus/esophageal swab","matrixEsophagusEsophagealSwab"
"sampledMatrix
Tissue sampled for testing -> eye/ eye swab","matrixEyeEyeSwab"
"sampledMatrix
Tissue sampled for testing -> Faeces","matrixFaeces"
"sampledMatrix
Tissue sampled for testing -> follicular fluid","matrixFollicularFluid"
"sampledMatrix
Tissue sampled for testing -> heart","matrixHeart"
"sampledMatrix
Tissue sampled for testing -> intestines","matrixIntestines"
"sampledMatrix
Tissue sampled for testing -> kidney","matrixKidney"
"sampledMatrix
Tissue sampled for testing -> lesion swab","matrixLesionSwab"
"sampledMatrix
Tissue sampled for testing -> liver","matrixLiver"
"sampledMatrix
Tissue sampled for testing -> lung","matrixLung"
"sampledMatrix
Tissue sampled for testing -> Lymph node","matrixLimphonode"
"sampledMatrix
Tissue sampled for testing -> mammary tissue","matrixMammaryTissue"
"sampledMatrix
Tissue sampled for testing -> Milk","matrixMilk"
"sampledMatrix
Tissue sampled for testing -> muscle","matrixMuscle"
"sampledMatrix
Tissue sampled for testing -> Non-food animal-related matrices","matrixNonFoodAnimalRelated"
"sampledMatrix
Tissue sampled for testing -> Nose/nasal swab","matrixNoseNasalSwab"
"sampledMatrix
Tissue sampled for testing -> (oro)pharyngeal swab","matrixOroparhyngealSwab"
"sampledMatrix
Tissue sampled for testing -> ovary","matrixOvary"
"sampledMatrix
Tissue sampled for testing -> pancreas","matrixPancreas"
"sampledMatrix
Tissue sampled for testing -> peyer's patches","matrixPeyerPatches"
"sampledMatrix
Tissue sampled for testing -> Placenta","matrixPlacenta"
"sampledMatrix
Tissue sampled for testing -> Rectum-anal swab/cloacal swab","matrixRectumAnalCloacalSwab"
"sampledMatrix
Tissue sampled for testing -> Saliva / saliva swab","matrixSaliva"
"sampledMatrix
Tissue sampled for testing -> salivary gland","matrixSalivaryGland"
"sampledMatrix
Tissue sampled for testing -> Secreta","matrixSecreta"
"sampledMatrix
Tissue sampled for testing -> Semen","matrixSemen"
"sampledMatrix
Tissue sampled for testing -> Skin","matrixSkin"
"sampledMatrix
Tissue sampled for testing -> spinal cord","matrixSpinalCord"
"sampledMatrix
Tissue sampled for testing -> spleen","matrixSpleen"
"sampledMatrix
Tissue sampled for testing -> stomach","matrixStomach"
"sampledMatrix
Tissue sampled for testing -> testicles","matrixTesticles"
"sampledMatrix
Tissue sampled for testing -> thymus","matrixThymus"
"sampledMatrix
Tissue sampled for testing -> thyroid","matrixThyroid"
"sampledMatrix
Tissue sampled for testing -> Tissues juice","matrixTissuesJuice"
"sampledMatrix
Tissue sampled for testing -> tongue","matrixTongue"
"sampledMatrix
Tissue sampled for testing -> Tonsil / tonsil swab","matrixTonsil"
"sampledMatrix
Tissue sampled for testing -> trachea","matrixTrachea"
"sampledMatrix
Tissue sampled for testing -> urine","matrixUrine"
"sampledMatrix
Tissue sampled for testing -> uterus","matrixUterus"
"sampledMatrix
Tissue sampled for testing -> Vagina / vaginal swab","matrixVagina"
"sampledMatrix
Tissue sampled for testing -> Wool","matrixWool"
"sampledMatrix
Tissue sampled for testing -> Foetus / stillbirth / neonatus","matrixFoetusStillbirthNeonatus"
"sampledMatrix
Tissue sampled for testing -> not sampled","matrixNotSampled"
"sampledMatrix
Tissue sampled for testing -> not reported","matrixNotReported"
"sampledMatrix
Tissue sampled for testing -> Other: specify","matrixOther"
"sampledMatrix
Tissue sampled for testing -> Other: specify (COMMENT)","matrixOtherC"
"sampledMatrix
Tissue sampled for testing -> oviduct","matrixOviduct"
"sampledMatrix
Tissue sampled for testing -> feathers","matrixFeathers"
"sampledMatrix
Tissue sampled for testing -> bursa fabricius","matrixBursaFabricius"
"anMatText
Target of laboratory test","targetLabTest"
"anMatText
Target of laboratory test_comment","targetLabTestC"
"anMethCode
Laboratory test used to analyse for virus or antigens associated with the VBD","labTestUsed"
"anMethCode
Laboratory test used to analyse for virus or antigens associated with the VBD_comment","labTestUsedC"
"minDetect
Minimum number of days post inoculation to detect pathogen or nucleic acid
(use -1 if not reported)","minDetect"
"maxDetect
Maximum number of days post inoculation to observe pathogen or nucleic acid
(use -1 if not reported)","maxDetect"
"Study design WEAKNESSES
Add any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?","weakeness"
"Any additional notes you want to leave.","Notes"
