"Refid","agent","ShortBibliography","FullBibliography","Author","Title","Abstract","publicationYear"
40004,"African swine fever virus"," P D McKercher, et al. 1978/01/01. "," P D McKercher, W R Hess, F Hamdy (1978/01/01).  Residual viruses in pork products. Applied and Environmental Microbiology, 35(1),  142"," P D McKercher, W R Hess, F Hamdy","Residual viruses in pork products.","Partly cooked canned hams and dried pepperoni and salami sausages were prepared from the carcasses of pigs infected with African swine fever virus and pigs infected with hog cholera virus. Virus was not recovered from the partly cooked canned hams; however, virus was recovered in the hams before heating in both instances. Both African swine fever virus and hog cholera virus were recovered from the dried salami and pepperoni sausages, but not after the required curing period.","1978/01/01"
41006,"HPAI - Highly Pathogenic Avian Influenza","Figueroa, et al. 2021. ","Figueroa, A., Derksen, T., Biswas, S., Nazmi, A., Rejmanek, D., Crossley, B., Pandey, P., Gallardo, R.A. (2021).  Persistence of low and highly pathogenic avian influenza virus in reused poultry litter, effects of litter amendment use, and composting temperatures Journal of Applied Poultry Research, 30(1),  #Pages#","Figueroa, A., Derksen, T., Biswas, S., Nazmi, A., Rejmanek, D., Crossley, B., Pandey, P., Gallardo, R.A.","Persistence of low and highly pathogenic avian influenza virus in reused poultry litter, effects of litter amendment use, and composting temperatures","Avian influenza has greatly impacted the commercial poultry industry worldwide. Limited knowledge exists on the interactions between avian influenza viruses (AIV) and the environmental factors associated with poultry farms. To improve our existing understanding of AIV survival in various environmental conditions, experiments were conducted to investigate the persistence of AIV in reused poultry litter. Additionally, we investigated the effects of a litter acidifier, based on sodium bisulfate, as well as different composting temperatures on the survivability of this virus. The highly pathogenic AIV was found to persist much longer than low pathogenic AIV (LPAIV) in litter material, regardless of the number of cycles the litter was used. No clear association was detected between litter cycle use and viral persistence. In terms of litter acidification, the acidifier amendment immediately inactivated LPAIV when directly mixed with the virus and in the presence of broiler litter. Differing results were obtained in turkey litter where the virus persisted less than 48 h. Finally, when testing composting temperatures, LPAIV was inactivated in litter after 30 min of viral contamination but before the target temperatures were reached. In carcass material with and without litter, LPAIV survived for less than 30 min, before reaching 50°C or 60°C, showing a detrimental effect on LPAIV survivability. These studies provide information that helps improve the understanding of interactions between environmental factors and AIV. © 2020 The Authors","2021"
41133,"HPAI - Highly Pathogenic Avian Influenza","Schmitz, et al. 2020. ","Schmitz, A., Pertusa, M., Bouquin, S.L., Rousset, N., Ogor, K., LeBras, M.-O., Martenot, C., Daniel, P., Hontecillas, A.B.C., Scoizec, A., Morin, H., Massin, P., Grasland, B., Niqueux, E., Eterradossi, N. (2020).  Natural and Experimental Persistence of Highly Pathogenic H5 Influenza Viruses in Slurry of Domestic Ducks, with or without Lime Treatment Applied and Environmental Microbiology, 86(24),  1","Schmitz, A., Pertusa, M., Bouquin, S.L., Rousset, N., Ogor, K., LeBras, M.-O., Martenot, C., Daniel, P., Hontecillas, A.B.C., Scoizec, A., Morin, H., Massin, P., Grasland, B., Niqueux, E., Eterradossi, N.","Natural and Experimental Persistence of Highly Pathogenic H5 Influenza Viruses in Slurry of Domestic Ducks, with or without Lime Treatment","Infections by A/H5 and A/H7 avian influenza viruses (AIVs) can cause acute disease and are therefore notifiable in poultry and wild birds. During winter 2015-2016, several cases of infection caused by highly pathogenic (HP) AIVs belonging to the A/H5N1, A/H5N2, and A/H5N9 subtypes were detected in southwestern France. Throughout winter 2016-2017, several cases of infections caused mainly by A/H5N8 HP AIV (A/goose/GD/1/1996, clade 2.3.4.4) were detected across Europe. On both occasions, the viruses were widely detected on palmiped farms in France. This study was designed to evaluate the persistence of A/H5 HP AIV in slurry from various duck productions. This was achieved (i) in the laboratory setting by artificially spiking four AIV-free slurry samples with known amounts of A/H5N9 HP AIV and monitoring virus infectivity, with or without lime treatment to achieve pH 10 or pH 12, and (ii) by sampling slurry tanks on five naturally A/H5N8 HP-contaminated farms. Experimental results in artificially spiked slurry suggested virus survival for 4 weeks in slurry from Muscovy or Pekin duck breeders and for 2 weeks in slurry from ducks for foie gras production during the assisted-feeding period, without lime treatment. Persistence of infectious A/H5N9 HP AIV in all slurry samples after lime treatment at pH 10 or pH 12 was less than 1 week. The A/H5N8 HP AIV persisted in naturally contaminated untreated slurry for 7 weeks. The results obtained provide experimental support for the 60-day storage period without treatment or the 7-day interval after lime treatment defined in French regulations for slurry sanitization. IMPORTANCE From November 2015 to July 2017, two successive episodes of H5 highly pathogenic avian influenza viruses (HP AIVs) infections occurred on poultry farms in France, mostly in domestic ducks raised for foie gras production in southwestern France. During the two epizootics, epidemiological investigations were carried out on infected farms and control and biosafety measures were implemented in association with surveillance in order to stop the spread of the viruses. Effluents are known to be an important factor in environmental dissemination of viruses, and suitable effluent management is needed to help prevent the spread of epizootics to other farms or pathogen persistence at the farm level. The present study was therefore designed to assess how long infectious A/H5 HP AIVs can persist in naturally or experimentally contaminated fecal slurry samples from ducks, with or without sanitization by lime treatment. © 2020 Schmitz et al.","2020"
41203,"HPAI - Highly Pathogenic Avian Influenza","Karunakaran, et al. 2019. ","Karunakaran, A.C., Murugkar, H.V., Kumar, M., Nagarajan, S., Tosh, C., Pathak, A., Mekhemadhom Rajendrakumar, A., Agarwal, R.K. (2019).  Survivability of highly pathogenic avian influenza virus (H5N1) in naturally preened duck feathers at different temperatures Transboundary and Emerging Diseases, 66(3),  1306","Karunakaran, A.C., Murugkar, H.V., Kumar, M., Nagarajan, S., Tosh, C., Pathak, A., Mekhemadhom Rajendrakumar, A., Agarwal, R.K.","Survivability of highly pathogenic avian influenza virus (H5N1) in naturally preened duck feathers at different temperatures","Ducks are the “Trojan Horses” for Asian H5N1 avian influenza viruses (AIV) and attain carrier status without displaying overt infection. These birds help in the spread of the virus among the poultry and human population through direct or indirect contact. Preen oil is the secretion of preen gland of water birds such as ducks. In a process called preening, the water birds spread preen oil across their feather and body. Preen oil has been known to play a significant role in the accumulation of various pathogens including Highly Pathogenic Avian Influenza (HPAI) from water onto feathers. However, the studies are scarce on the role of preen oil in the survivability of HPAIV. We conducted a simulative study to analyse the effect of preen oil on the survivability of the HPAI virus (H5N1) on duck feathers. Duck feather samples along with relevant controls were spiked with the H5N1 virus at two different initial concentrations (104 EID50 and 106 EID50), stored at 37°C, 25°C and 10°C temperatures and tested at regular intervals for percent infectivity by egg culture method and qRT-PCR. The infectivity and viral load were significantly higher in naturally preened duck feathers in comparison to the three preen oil deficit controls at both low and high initial concentrations of virus (104 EID50 and 106 EID50). Maximum persistence was seen at 10°C in naturally preened duck feathers spiked with 106 EID50 concentration of viruses. It was also seen that depletion of preen oil from duck feathers reduced the persistence of the virus. These results demonstrate that preen oil plays a significant role in survivability and protection of HPAIV on duck feathers. This study herein will present new avenues in understanding one of the epidemiological niches of HPAIV. © 2019 Blackwell Verlag GmbH","2019"
41372,"HPAI - Highly Pathogenic Avian Influenza","Stephens, et al. 2017. ","Stephens, C.B., Spackman, E. (2017).  Thermal Inactivation of avian influenza virus in poultry litter as a method to decontaminate poultry houses Preventive Veterinary Medicine, 145(#issue#),  73","Stephens, C.B., Spackman, E.","Thermal Inactivation of avian influenza virus in poultry litter as a method to decontaminate poultry houses","Removal of contaminated material from a poultry house during recovery from an avian influenza virus (AIV) outbreak is costly and labor intensive. Because AIV is not environmentally stable, heating poultry houses may provide an alternative disinfection method. The objective was to determine the time necessary to inactivate AIV in poultry litter at temperatures achievable in a poultry house. Low pathogenic (LP) AIV inactivation was evaluated between 10.0°–48.9 °C, at ~5.5 °C intervals and highly pathogenic (HP) AIV inactivation was evaluated between 10.0°–43.3 °C, at ~11 °C intervals. Samples were collected at numerous time points for each temperature. Virus isolation in embryonating chicken eggs was conducted to determine if viable virus was present. Each sample was also tested by real-time RT-PCR. Low pathogenicity AIV was inactivated at 1 day at 26.7 °C or above. At 10.0, 15.6 and 21.1 °C, inactivation times increased to 2–5 days. Highly pathogenic AIV followed a similar trend; the virus was inactivated after 1 day at 43.3 °C and 32.2 °C, and required 2 and 5 days for inactivation at 21.1 °C and 10.0 °C respectively. While low pathogenicity AIV appeared to be inactivated at a lower temperature than high pathogenicity AIV, this was not due to any difference in the strains, but due to fewer temperature points being evaluated for high pathogenicity. Endpoints for detection by real-time RT-PCR were not found even weeks after the virus was inactivated. This provides a guideline for the time required, at specific temperatures to inactivate AIV in poultry litter and likely on surfaces within the house. Heat treatment will provide an added level of safety to personnel and against further spread by eliminating infectious virus prior to cleaning a house. © 2017","2017"
41381,"HPAI - Highly Pathogenic Avian Influenza","Yamamoto, et al. 2017. ","Yamamoto, Y., Nakamura, K., Mase, M. (2017).  Survival of highly pathogenic avian influenza H5N1 virus in tissues derived from experimentally infected chickens Applied and Environmental Microbiology, 83(16),  #Pages#","Yamamoto, Y., Nakamura, K., Mase, M.","Survival of highly pathogenic avian influenza H5N1 virus in tissues derived from experimentally infected chickens","Eurasian lineage highly pathogenic avian influenza (HPAI) H5N1 virus has been a severe threat to the poultry industry since its emergence in 1996. The carcass or tissues derived from infected birds may present the risk of the virus spreading to humans, animals, and the surrounding environment. In this study, we investigated the survival of the virus in feather, muscle, and liver tissues collected from six chickens (Gallus gallus) experimentally infected with HPAI H5N1 virus. The tissues were stored at +4°C or +20°C, and viral isolation was performed at different times for 360 days. The maximum periods for viral survival were observed in samples stored at +4°C in all tissue types and were 240 days in feather tissues, 160 days in muscle, and 20 days in liver. The viral infectivity at +20°C was maintained for a maximum of 30 days in the feather tissues, 20 days in muscle, and 3 days in liver. The viral inactivation rates partly overlapped in the feather and muscle tissues at the two temperatures. The virus was inactivated rapidly in the liver. Our experimental results indicate that the tissue type and temperature can greatly influence the survival of HPAI H5N1 virus in the tissues of infected chickens. © 2017 American Society for Microbiology.","2017"
41657,"HPAI - Highly Pathogenic Avian Influenza","Brown, et al. 2014. ","Brown, J., Stallknecht, D., Lebarbenchon, C., Swayne, D. (2014).  Survivability of Eurasian H5N1 Highly Pathogenic Avian Influenza Viruses in Water Varies between Strains Avian Diseases, 58(3),  453","Brown, J., Stallknecht, D., Lebarbenchon, C., Swayne, D.","Survivability of Eurasian H5N1 Highly Pathogenic Avian Influenza Viruses in Water Varies between Strains","Aquatic habitats play a critical role in the transmission and maintenance of low-pathogenic avian influenza (LPAI) viruses in wild waterfowl; however, the importance of these environments in the ecology of H5N1 highly pathogenic avian influenza (HPAI) viruses is unknown. In laboratory-based studies, LPAI viruses can remain infective for extended durations (months) in water, but the persistence is strongly dependent on water conditions (temperature, salinity, pH) and virus strain. Little is known about the stability of H5N1 HPAI viruses in water. With the use of an established laboratory model system, the persistence of 11 strains of H5N1 HPAI virus was measured in buffered distilled water (pH 7.2) at two temperatures (17 and 28 C) and three salinities (0, 15,000, and 30,000 ppm). There was extensive variation between the 11 H5N1 HPAI virus strains in the overall stability in water, with a range similar to that which has been reported for wild-bird-origin LPAI viruses. The H5N1 HPAI virus strains responded similarly to different water temperatures and salinities, with all viruses being most stable at colder temperatures and fresh to brackish salinities. These results indicate that the overall stability and response of H5N1 HPAI viruses in water is similar to LPAI viruses, and suggest there has been no increase or loss of environmental survivability in H5N1 HPAI viruses. © American Association of Avian Pathologists.","2014"
41757,"HPAI - Highly Pathogenic Avian Influenza","Kurmi, et al. 2013. ","Kurmi, B., Murugkar, H.V., Nagarajan, S., Tosh, C., Dubey, S.C., Kumar, M. (2013).  Survivability of highly pathogenic avian influenza H5N1 virus in poultry faeces at different temperatures Indian Journal of Virology, 24(2),  272","Kurmi, B., Murugkar, H.V., Nagarajan, S., Tosh, C., Dubey, S.C., Kumar, M.","Survivability of highly pathogenic avian influenza H5N1 virus in poultry faeces at different temperatures","Highly pathogenic avian Influenza (HPAI) is an important zoonotic disease and is becoming a great threat to poultry industry. India has experienced continual outbreaks of H5N1 HPAI virus since February, 2006 especially in Eastern India. Survivability in poultry faeces is an important determinant in evaluating the persistence of the virus in the poultry sheds and their vicinity. In this paper, survivability of Indian H5N1 HPAI virus in dry and wet poultry faeces at 42, 37, 24 and 4 C, respectively is reported. The effect of different temperatures was determined by linear regression model and defined in terms of linear equation. The virus survived up to 18 h at 42 C, 24 h at 37 C, 5 days at 24 C and 8 weeks at 4 C in dry and wet faeces, respectively. The coefficients of determination (R2) values for dry and wet faeces revealed that the difference in viral persistence in dry and wet faeces at all temperatures was not very marked. Results of the present study indicated that H5N1 HPAI virus may remain viable for extended periods of time in faeces at low temperatures and may act as a long term source of influenza virus in the environment. © 2013 Indian Virological Society.","2013"
41880,"HPAI - Highly Pathogenic Avian Influenza","Elving, et al. 2012. ","Elving, J., Emmoth, E., Albihn, A., Vinnerås, B., Ottosona, J. (2012).  Composting for avian influenza virus elimination Applied and Environmental Microbiology, 78(9),  3280","Elving, J., Emmoth, E., Albihn, A., Vinnerås, B., Ottosona, J.","Composting for avian influenza virus elimination","Effective sanitization is important in viral epizootic outbreaks to avoid further spread of the pathogen. This study examined thermal inactivation as a sanitizing treatment for manure inoculated with highly pathogenic avian influenza virus H7N1 and bacteriophages MS2 and f{symbol}6. Rapid inactivation of highly pathogenic avian influenza virus H7N1 was achieved at both mesophilic (35°C) and thermophilic (45 and 55°C) temperatures. Similar inactivation rates were observed for bacteriophage f{symbol}6, while bacteriophage MS2 proved too thermoresistant to be considered a valuable indicator organism for avian influenza virus during thermal treatments. Guidelines for treatment of litter in the event of emergency composting can be formulated based on the inactivation rates obtained in the study. © 2012, American Society for Microbiology.","2012"
41885,"HPAI - Highly Pathogenic Avian Influenza","Horm, et al. 2012. ","Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#","Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P.","Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes","Background: Very little is known regarding the persistence of Highly Pathogenic Avian Influenza (HPAI) H5N1 viruses in aquatic environments in tropical countries, although environmental materials have been suggested to play a role as reservoirs and sources of transmission for H5N1 viruses. Methodology/Principal Findings: The survival of HPAI H5N1 viruses in experimental aquatic biotopes (water, mud, aquatic flora and fauna) relevant to field conditions in Cambodia was investigated. Artificial aquatic biotopes, including simple ones containing only mud and water, and complex biotopes involving the presence of aquatic flora and fauna, were set up. They were experimentally contaminated with H5N1 virus. The persistence of HPAI H5N1 virus (local avian and human isolates) was determined by virus isolation in embryonated chicken eggs and by real-time reverse-polymerase chain reaction. Persistence of infectious virus did not exceed 4 days, and was only identified in rain water. No infectious virus particles were detected in pond and lake water or mud even when high inoculum doses were used. However, viral RNA persisted up to 20 days in rain water and 7 days in pond or lake water. Viral RNA was also detected in mud samples, up to 14 days post-contamination in several cases. Infectious virus and viral RNA was detected in few cases in the aquatic fauna and flora, especially in bivalves and labyrinth fish, although these organisms seemed to be mostly passive carriers of the virus rather than host allowing virus replication. Conclusions/Significance: Although several factors for the survival and persistence of HPAI viruses in the environment are still to be elucidated, and are particularly hard to control in laboratory conditions, our results, along with previous data, support the idea that environmental surveillance is of major relevance for avian influenza control programs. © 2012 Horm et al. This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","2012"
41951,"HPAI - Highly Pathogenic Avian Influenza","Horm, et al. 2011. ","Horm, S.V., Deboosere, N., Gutiérrez, R.A., Vialette, M., Buchy, P. (2011).  Direct detection of highly pathogenic avian influenza A/H5N1 virus from mud specimens Journal of Virological Methods, 176(1-2),  69","Horm, S.V., Deboosere, N., Gutiérrez, R.A., Vialette, M., Buchy, P.","Direct detection of highly pathogenic avian influenza A/H5N1 virus from mud specimens","Contaminated mud and soil may play roles as reservoirs and sources of transmission for avian influenza A virus. However, the persistence of highly pathogenic avian influenza (HPAI) H5N1 virus in soil or mud has not been well documented, and specific methods of H5N1 virus detection in mud and soil specimens have not been described. The aim of this work was to evaluate the capacities of five different commercial kits and one elution-concentration technique to extract nucleic acids from H5N1 virus and to detect infectious viral particles in experimentally infected mud specimens. The viral RNA detection thresholds for the QIAamp kit, Trizol LS and the MagNA Pure LC kit were 5×10 2RNA copies per gram of mud. Trizol reagent and the RNA PowerSoil™ kit were unsuccessful in recovering any viral RNA from mud. When the elution-concentration technique was performed prior to nucleic acid extraction, the performance of the MagNA Pure kit increased to a level that allowed the detection of H5N1 nucleic acids in naturally contaminated environmental samples that had previously tested negative after direct extraction using commercial kits. The levels of detection of infectious virus after inoculation into embryonated eggs were higher in concentrates than in eluates. © 2011 Elsevier B.V.","2011"
41967,"Newcastle disease","Chmielewski, et al. 2011. ","Chmielewski, R.A., Beck, J.R., Swayne, D.E. (2011).  Thermal inactivation of avian influenza virus and newcastle disease virus in a fat-free egg product Journal of Food Protection, 74(7),  1161","Chmielewski, R.A., Beck, J.R., Swayne, D.E.","Thermal inactivation of avian influenza virus and newcastle disease virus in a fat-free egg product","High-pathogenicity avian influenza (HPAI) virus, low-pathogenicity avian influenza (LPAI) virus, virulent Newcastle disease virus (vNDV) and low-virulent Newcastle disease virus (lNDV) can be present on the eggshell surface, and HPAI viruses and vNDV can be present in the internal contents of chicken eggs laid by infected hens. With the increase in global trade, egg products could present potential biosecurity problems and affect international trade in liquid and dried egg products. Therefore, the generation of survival curves to determine decimal reduction times (D T-values) and change in heat resistance of the viruses (z D-value) within fat-free egg product could provide valuable information for development of risk reduction strategies. Thermal inactivation studies using A/chicken/Pennsylvania/1370/83 (H5N2) HPAI virus resulted in D 55-, D 56-, D 56.7-, D 57-, D 58-, and D 59-values of 18.6, 8.5, 3.6, 2.5, 0.4, and 0.4 min, respectively. The z D-value was 4.4uC. LPAI virus A/chicken/New York/ 13142/94 (H7N2) had D 55-, D 56.7-, D 57-, D 58-, D 59-, and D 60-values of 2.9, 1.4, 0.8, 0.7, 0.7, and 0.5 min, respectively, and a zvalue of 0.4°C. vNDV avian paramyxoviruses of serotype 1 (AMPV-1)/chicken/California/212676/2002 had D 55-, D 56-, D 56.7-, D 57-, D 58-, and D 59-values of 12.4, 9.3, 6.2, 5, 3.7, and 1.7 min, respectively. The z D-value was 4.7uC. lNDV AMPV-1/chicken/ United States/B1/1948 had D 55-, D 57-, D 58-, D 59-, D 61-, and D 63-values of 5.3, 2.2, 1.1, 0.55, 0.19, and 0.17 min, respectively, and a z D-value of 1.0°C. Use of these data in developing egg pasteurization standards for AI and NDV-infected countries should allow safer trade in liquid egg products. © International Association for Food Protection.","2011"
41967,"HPAI - Highly Pathogenic Avian Influenza","Chmielewski, et al. 2011. ","Chmielewski, R.A., Beck, J.R., Swayne, D.E. (2011).  Thermal inactivation of avian influenza virus and newcastle disease virus in a fat-free egg product Journal of Food Protection, 74(7),  1161","Chmielewski, R.A., Beck, J.R., Swayne, D.E.","Thermal inactivation of avian influenza virus and newcastle disease virus in a fat-free egg product","High-pathogenicity avian influenza (HPAI) virus, low-pathogenicity avian influenza (LPAI) virus, virulent Newcastle disease virus (vNDV) and low-virulent Newcastle disease virus (lNDV) can be present on the eggshell surface, and HPAI viruses and vNDV can be present in the internal contents of chicken eggs laid by infected hens. With the increase in global trade, egg products could present potential biosecurity problems and affect international trade in liquid and dried egg products. Therefore, the generation of survival curves to determine decimal reduction times (D T-values) and change in heat resistance of the viruses (z D-value) within fat-free egg product could provide valuable information for development of risk reduction strategies. Thermal inactivation studies using A/chicken/Pennsylvania/1370/83 (H5N2) HPAI virus resulted in D 55-, D 56-, D 56.7-, D 57-, D 58-, and D 59-values of 18.6, 8.5, 3.6, 2.5, 0.4, and 0.4 min, respectively. The z D-value was 4.4uC. LPAI virus A/chicken/New York/ 13142/94 (H7N2) had D 55-, D 56.7-, D 57-, D 58-, D 59-, and D 60-values of 2.9, 1.4, 0.8, 0.7, 0.7, and 0.5 min, respectively, and a zvalue of 0.4°C. vNDV avian paramyxoviruses of serotype 1 (AMPV-1)/chicken/California/212676/2002 had D 55-, D 56-, D 56.7-, D 57-, D 58-, and D 59-values of 12.4, 9.3, 6.2, 5, 3.7, and 1.7 min, respectively. The z D-value was 4.7uC. lNDV AMPV-1/chicken/ United States/B1/1948 had D 55-, D 57-, D 58-, D 59-, D 61-, and D 63-values of 5.3, 2.2, 1.1, 0.55, 0.19, and 0.17 min, respectively, and a z D-value of 1.0°C. Use of these data in developing egg pasteurization standards for AI and NDV-infected countries should allow safer trade in liquid egg products. © International Association for Food Protection.","2011"
42041,"HPAI - Highly Pathogenic Avian Influenza","Wood, et al. 2010. ","Wood, J.P., Choi, Y.W., Chappie, D.J., Rogers, J.V., Kaye, J.Z. (2010).  Environmental persistence of a highly pathogenic Avian Influenza (H5N1) virus Environmental Science and Technology, 44(19),  7515","Wood, J.P., Choi, Y.W., Chappie, D.J., Rogers, J.V., Kaye, J.Z.","Environmental persistence of a highly pathogenic Avian Influenza (H5N1) virus","Human cases of disease caused by highly pathogenic avian influenza (HPAI) viruses of the H5N1 subtype are rare, yet characterized with a mortality rate of approximately 60%. Tests were conducted to determine the environmental persistence of an HPAI (H5N1) virus on four materials (glass, wood, galvanized metal, and topsoil) that could act as fomites or harbor the virus. Test coupons were inoculated with the virus and exposed to one of five environmental conditions that included changes in temperature, relative humidity, and simulated sunlight. At time periods up to 13 days, the virus was extracted from each coupon, and quantified via cytopathic effects on Madin-Darby canine kidney cells. The virus was most persistent under the low temperature condition, with less than 1 log reduction on glass and steel after 13 days at low relative humidity. Thus, at these conditions, the virus would be expected to persist appreciably beyond 13 days. © 2010 American Chemical Society.","2010"
42049,"HPAI - Highly Pathogenic Avian Influenza","Busquets, et al. 2010. ","Busquets, N., Xavier Abad, F., Alba, A., Dolz, R., Allepuz, A., Rivas, R., Ramis, A., Darji, A., Majó, N. (2010).  Persistence of highly pathogenic avian influenza virus (H7N1) in infected chickens: Feather as a suitable sample for diagnosis Journal of General Virology, 91(9),  2307","Busquets, N., Xavier Abad, F., Alba, A., Dolz, R., Allepuz, A., Rivas, R., Ramis, A., Darji, A., Majó, N.","Persistence of highly pathogenic avian influenza virus (H7N1) in infected chickens: Feather as a suitable sample for diagnosis","Selection of an ideal sample is a vital element in early detection of influenza infection. Rapid identification of infectious individuals or animals is crucial not only for avian influenza virus (AIV) surveillance programmes, but also for treatment and containment strategies. This study used a combination of quantitative real-time RT-PCR with an internal positive control and a cell-titration system to examine the presence of virus in different samples during active experimental AIV infection and its persistence in the infected carcasses. Oropharyngeal/cloacal swabs as well as feather pulp and blood samples were collected from 15-day-old chicks infected with H7N1 highly pathogenic AIV (HPAIV) and the kinetics of virus shedding during active infection were evaluated. Additionally, several samples (muscle, skin, brain, feather pulp and oropharyngeal and cloacal swabs) were examined to assess the persistence of virus in the HPAIV-infected carcasses. Based on the results, feather pulp was found to be the best sample to detect and isolate HPAIV from infected chicks from 24 h after inoculation onwards. Kinetic studies on the persistence of virus in infected carcasses revealed that tissues such as muscle could potentially transmit infectious virus for 3 days post-mortem (p.m.), whilst other tissues such as skin, feather pulp and brain retained their infectivity for as long as 5-6 days p.m. at environmental temperature (22-23 °C). These results strongly favour feather as a useful sample for HPAIV diagnosis in infected chickens as well as in carcasses. © 2010 SGM.","2010"
42054,"HPAI - Highly Pathogenic Avian Influenza","Yamamoto, et al. 2010. ","Yamamoto, Y., Nakamura, K., Yamada, M., Mase, M. (2010).  Persistence of avian influenza virus (H5N1) in feathers detached from bodies of infected domestic ducks Applied and Environmental Microbiology, 76(16),  5496","Yamamoto, Y., Nakamura, K., Yamada, M., Mase, M.","Persistence of avian influenza virus (H5N1) in feathers detached from bodies of infected domestic ducks","Asian lineage highly pathogenic avian influenza virus (H5N1) continues to cause mortality in poultry and wild bird populations at a panzootic scale. However, little is known about its persistence in contaminated tissues derived from infected birds. We investigated avian influenza virus (H5N1) persistence in feathers detached from bodies of infected ducks to evaluate their potential risk for environmental contamination. Four-week-old domestic ducks were inoculated with different clades of avian influenza virus (H5N1). Feathers, drinking water, and feces were collected on day 3 postinoculation and stored at 4°C or 20°C. Viral persistence in samples was investigated for 360 days by virus isolation and reverse transcription-PCR. Infectious viruses persisted for the longest period in feathers, compared with drinking water and feces, at both 4°C and 20°C. Viral infectivity persisted in the feathers for 160 days at 4°C and for IS days at 20°C. Viral titers of 104.3 50% egg infectious doses/ml or greater were detected for 120 days in feathers stored at 4°C. Viral RNA in feathers was more stable than the infectivity. These results indicate that feathers detached from domestic ducks infected with highly pathogenic avian influenza virus (H5N1) can be a source of environmental contamination and may function as fomites with high viral loads in the environment. Copyright © 2010, American Society for Microbiology. All Rights Reserved.","2010"
42324,"HPAI - Highly Pathogenic Avian Influenza","Isbarn, et al. 2007. ","Isbarn, S., Buckow, R., Himmelreich, A., Lehmacher, A., Heinz, V. (2007).  Inactivation of avian influenza virus by heat and high hydrostatic pressure Journal of Food Protection, 70(3),  667","Isbarn, S., Buckow, R., Himmelreich, A., Lehmacher, A., Heinz, V.","Inactivation of avian influenza virus by heat and high hydrostatic pressure","Avian influenza viruses threaten the life of domestic terrestrial poultry and contaminate poultry meat and eggs. Recently, these viruses rarely infected humans but had a high mortality rate in Southeast Asia, the Middle East, and Egypt. Thereby, these viruses caused high economic costs for production of poultry and health protection. We inactivated a highly pathogenic avian influenza A virus of subtype H7N7 in cell culture medium and chicken meat by heat and high hydrostatic pressure. Because heat and pressure inactivation curves of the H7N7 virus showed deviations from first-order kinetics, a reaction order of 1.1 had to be selected. A mathematical inactivation model has been developed that is valid between 10 and 60°C and up to 500 MPa, allowing the prediction of the reduction in virus titer in response to pressure, temperature, and treatment time. Incubation at 63°C for 2 min and 500 MPa at 15°C for 15 s inactivated more than 105 PFU/ml, respectively. Thus, we suggest high-pressure treatment of poultry and its products to avoid the possible health threat by highly pathogenic avian influenza viruses. Copyright ©, International Association for Food Protection.","2007"
42390,"Newcastle disease","Swayne, et al. 2004. ","Swayne, D.E., Beck, J.R. (2004).  Heat inactivation of avian influenza and Newcastle disease viruses in egg products Avian Pathology, 33(5),  512","Swayne, D.E., Beck, J.R.","Heat inactivation of avian influenza and Newcastle disease viruses in egg products","Avian influenza (AI) and Newcastle disease (ND) viruses are heat labile viruses, but exact parameters for heat inactivation at egg pasteurization temperatures have not been established. In this study we artificially infected four egg products with two AI (one low [LP] and one high pathogenicity [HP]) and three ND (two low and one highly virulent) viruses, and determined inactivation curves at 55, 57, 59, 61 and 63°C. Based on Dt values, the time to inactivation of the viruses was dependent on virus strain and egg product, and was directly related to virus titre, but inversely related to temperature. For all temperatures, the five viruses had the most rapid and complete inactivation in 10% salt yolk, while the most resistant to inactivation was HPAI virus in dried egg white. This study demonstrated that the LPAI and all ND viruses were inactivated in all egg products when treated using industry standard pasteurization protocols. By contrast, the HPAI virus was inactivated in liquid egg products but not in dried egg whites when using the low-temperature industry pasteurization protocol.","2004"
42390,"HPAI - Highly Pathogenic Avian Influenza","Swayne, et al. 2004. ","Swayne, D.E., Beck, J.R. (2004).  Heat inactivation of avian influenza and Newcastle disease viruses in egg products Avian Pathology, 33(5),  512","Swayne, D.E., Beck, J.R.","Heat inactivation of avian influenza and Newcastle disease viruses in egg products","Avian influenza (AI) and Newcastle disease (ND) viruses are heat labile viruses, but exact parameters for heat inactivation at egg pasteurization temperatures have not been established. In this study we artificially infected four egg products with two AI (one low [LP] and one high pathogenicity [HP]) and three ND (two low and one highly virulent) viruses, and determined inactivation curves at 55, 57, 59, 61 and 63°C. Based on Dt values, the time to inactivation of the viruses was dependent on virus strain and egg product, and was directly related to virus titre, but inversely related to temperature. For all temperatures, the five viruses had the most rapid and complete inactivation in 10% salt yolk, while the most resistant to inactivation was HPAI virus in dried egg white. This study demonstrated that the LPAI and all ND viruses were inactivated in all egg products when treated using industry standard pasteurization protocols. By contrast, the HPAI virus was inactivated in liquid egg products but not in dried egg whites when using the low-temperature industry pasteurization protocol.","2004"
