"Refid","Bibliography","User","Ris Code","Level","Pathogen survival _k","studyID
Unique ID to link all observations from the same study or experiment","studyGroupID","agent
Causative agent of vector borne diseases","agentSubtypeType
What type of further detailed information is given regarding the agent.Select here, and type below. ","agentSubtypeType
What type of further detailed information is given regarding the agent.Select here, and type below. _comment","agentDetails
strain and any other further information","agentSubtype
(question from DACRAH1, no need to answer)","studyTargetSpecies
Species used in study","studyTargetSpecies
Species used in study_comment","sampUnitSize
Number of samples tested in the study
(enter -1 if not reported, -2 if not relevant)","sampledMatrix
Matrix sampled","sampledMatrix
Matrix sampled_comment","sampled Matrix Text
matrix as given in the paper/ any further details about the sample matrix","temperature
Degrees Celcius","Further details about temperature
Describe any variations. If the temperature was not constant, explain it here, and add the MAXIMUM temperature in the temperature box.","humidity
Humidity conditions (%)","Further details about the process/methods/survival conditions
Use this box to add any further details, in particular whether a specific survival condition was evaluated, for instance composting. ","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD","anMatText
Target of laboratory test","maxDetect
Maximum number of days post inoculation to observe pathogen, antibody or nucleic acid","Truncated
Is the value of MaxDetect truncated ? In other words: was the study finished before samples were negative. That is, is the reported  “MaxDetect” equal to the last experiment day ?","Half-life in days","LCI 95% Half-life
Value in days for the lower limite of the confidence interval for half-life","UCI 95% Half-life
Value in days for the upper limit of the confidence interval for half-life","Study design STRENGTHS
Add notes on the strengths of the study design.","Study design WEAKNESSESAdd any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?"
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,01,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"just water",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from auqrium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,4,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,01,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"just water",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from auqrium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",9,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,02,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"just water",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from auqrium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,02,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"just water",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from auqrium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",11,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,03,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with flora and fauna",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,4,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,03,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with flora and fauna",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",9,yes,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,04,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with flora and fauna",17,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,2,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,04,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with flora and fauna",17,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",20,yes,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,05,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,05,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",14,yes,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,06,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,06,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)",Antigen,7,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,07,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,07,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Real-Time PCR (qualitative or quantitative)","Nucleic acid",6,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,08,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,08,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Real-Time PCR (qualitative or quantitative)","Nucleic acid",5,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,09,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,09,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",7,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,10,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,10,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Real-Time PCR (qualitative or quantitative)","Nucleic acid",3,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,11,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",34,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,11,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",34,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",3,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,12,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",22,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,12,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",22,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",5,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,13,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,13,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",4,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,14,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",22,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,14,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",22,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",2,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,15,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,15,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud and flora/fauna",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",7,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,16,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",34,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,16,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",water,-1,"Water (as part-nature)",,"water with mud",34,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",6,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,17,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",mud,-1,Sand/soil,,"mud from aquarium with water and mud",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,18,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",mud,-1,Sand/soil,,"mud from aquarium with water and mud",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,18,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",mud,-1,Sand/soil,,"mud from aquarium with water and mud",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",6,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,19,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",mud,-1,Sand/soil,,"mud from aquarium with water and mud",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,19,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Cambodia/408008/2005",,"Other matrices, not animal: specify",mud,-1,Sand/soil,,"mud from aquarium with water and mud",32,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Reverse-transcription PCR (RT-PCR)","Nucleic acid",6,no,,,,,
41885,"Horm, V.S., Gutiérrez, R.A., Nicholls, J.M., Buchy, P. (2012).  Highly pathogenic influenza a(h5n1) virus survival in complex artificial aquatic biotopes PLoS ONE, 7(4),  #Pages#",manon.swanenburg,,4,,41885,20,"HPAI - Highly Pathogenic Avian Influenza",strain,,"H5N1 A/Chicken/Cambodia/ LC1AL/2007",,"Other matrices, not animal: specify",mud,-1,Sand/soil,,"mud from aquarium with water and mud and flora/fauna",25,,,"Complicated study with a lot of different groups. Groups 1 to 16: water samples from aquariums with only water, water with mud, or water with mud+flora/fauna.
Groups 17 to 28: mud samples from aquarium with water and mud, and sometimes, flora and/or fauna.","Virus Isolation (VI)",Virus,0,no,,,,,
