"Refid","Bibliography","User","Ris Code","Level","test_k","sampCountry
Country where study was performed","sampY
Year the study was conducted
(-1 if not reported)","agent *
Causative agent of the disease","agentSubtypeType
What type of further detailed information is given regarding the agent. Select here, and type below. Give the highest subtype information available - for instance serotype if available, instead of strain. ","agentSubtypeType
What type of further detailed information is given regarding the agent. Select here, and type below. Give the highest subtype information available - for instance serotype if available, instead of strain. _comment","agentDetails
The further information given regarding the sutype type given above. ","studyID *
Unique ID to link all observations from the same study, experiment, or time point evaluations.","studyTargetSpecies *
Species used in study","studyTargetSpecies *
Species used in study_comment","ageMonths
Age of animals in months
(-1 if not reported)","sampUnit *
Type of unit sampled in the study and reported in sampUnitSize","sampUnit *
Type of unit sampled in the study and reported in sampUnitSize_comment","sampUnitSize *
Number of units in the group (the number of units listed above (e.g. herds))","Animal status","Animal status_comment","testsubstance
select the vaccine used","testsubstance
select the vaccine used_comment","Type of vaccine","Type of vaccine_comment","route
Method of application or treatment regime or administration method of vaccine","route
Method of application or treatment regime or administration method of vaccine_comment","Day dose 1
The day, from the start of the experiment (day 0), when the first vaccine dose was given.","Vaccine dose 1
Dose of vaccine given for the first time (dose 1).","Day dose 2
The day, from the start of the experiment (day 0), when the second vaccine dose was given. Leave empty if not second dose was administered.","Vaccine Dose 2
Dose of vaccine given for the second time (dose 2). Leave empty if no second dose was administered.","Day dose 3
IF a third dose was given, enter the number of days since the start of the experiment (day 0), when it was administered. Leave empty otherwise","Vaccine Dose 3
IF a third dose was given (dose 3), enter the dose of vaccine given. Leave empty if no third dose was administered.","Challenge type","route
Method of application of the challenge","route
Method of application of the challenge_comment","Challenge substance","Challenge dose
Plese describe (free-text) the dosage information given","Challenge day
From the beginning of the experiment","deadUnits
Number of dead animals ","mortalityTime minimum
If provided in the paper, please report the time between application of the treatment and first recorded mortality. Use this question for the numerical value and the next for the unit.","mortalityTimeUnits_min
The units for the first reported time to mortality.","mortalityTime maximum
If provided in the paper, please report the time between application of the treatment and last recorded mortality. Use this question for the numerical value and the next for the unit.","mortalityTimeUnits_max
The units for the last reported time to mortality.","efficacy
1-RR. Report as given in the paper.
If not reported, leave it empty.","coverage
Coverage in %","Direct vaccine costs
Decsribe DIRECT vaccine costs, if given. ","Indirect vaccine costs
Decsribe any indirect vaccine costs reported in the paper, for instance loss of productivity, food conversion, etc.","Withdrawal period (in days)
Minimum number of days since last vaccine dose before animals can be sent to slaughter.
 ","vaccine storage
Does the vaccine need to be kept cold or in any other specific conditions? please report any details about logistical constraints given in the paper.","TIME POINT
Indicate time point in days from the start of the study to which the reported parameters below correspond","STAGE of experiment
At which step of the experiment do the information to be reported relate to.","LAB TEST *
Laboratory test used to detect agent, antibdies, or antigens associated with the disease","LAB TEST details
Description of laboratory method (where relevant include method of calculation of cut-offs)","Target of laboratory test","Target of laboratory test_comment","Tissue sampled for testing
(Note: as part-nature = the tissue has not been processed)","Tissue sampled for testing
(Note: as part-nature = the tissue has not been processed)_comment","Number of samples tested","Number of samples positive","testValue
The reported value for the test, for instance titers of SNT, IP for ELISA test, CQ/CT for a PCR, or a clinical score. GROUP AVERAGE, for the POSITIVE animals only.","UNITS
the units for the value reported to the left.","UNITS
the units for the value reported to the left._comment","Scale MIN
If a scale is needed in order to understand the test value (for instance the maximum score in a clinical score scale), then report the minimum here","Scale MAX
If a scale is needed in order to understand the test value (for instance the maximum score in a clinical score scale), then report the maximum here","QUALITY check If you have noted any significant weakness in the study design, or details worth of note which could not be captured in the current form, please enter comments here. All papers with comments in this section will be reviewed by a second reviewer. "
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",3,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"A/Gyrfalcon/Washington/40188-6/2014 (H5N8), Merck Animal Health",,"Other (specify):","RNA particle vaccine",SUBCUTANEOUS,,0,"10^7.0 RNA particle/bird",,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,7,4,days,8,days,,,,,,,23,"After challenge","Reverse-transcription PCR (RT-PCR)","Cut-off 0.9 log10 EID50/ml","Nucleic acid",,"Other (specify)","oropharyngeal swab",20,1,1.67,"Other: specify","log10 EID50/ml",,,
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",3,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"A/Gyrfalcon/Washington/40188-6/2014 (H5N8), Merck Animal Health",,"Other (specify):","RNA particle vaccine",SUBCUTANEOUS,,0,"10^7.0 RNA particle/bird",,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,7,4,days,8,days,,,,,,,25,"After challenge","Reverse-transcription PCR (RT-PCR)","Cut-off 0.9 log10 EID50/ml","Nucleic acid",,"Other (specify)","oropharyngeal swab",20,4,1.28,"Other: specify","log10 EID50/ml",,,
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",3,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"A/Gyrfalcon/Washington/40188-6/2014 (H5N8), Merck Animal Health",,"Other (specify):","RNA particle vaccine",SUBCUTANEOUS,,0,"10^7.0 RNA particle/bird",,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,7,4,days,8,days,,,,,,,23,"After challenge","Reverse-transcription PCR (RT-PCR)","Cut-off 0.9 log10 EID50/ml","Nucleic acid",,"Rectum-anal swab (as part-nature)",,20,1,1.67,"Other: specify","log10 EID50/ml",,,
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",3,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"A/Gyrfalcon/Washington/40188-6/2014 (H5N8), Merck Animal Health",,"Other (specify):","RNA particle vaccine",SUBCUTANEOUS,,0,"10^7.0 RNA particle/bird",,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,7,4,days,8,days,,,,,,,25,"After challenge","Reverse-transcription PCR (RT-PCR)","Cut-off 0.9 log10 EID50/ml","Nucleic acid",,"Rectum-anal swab (as part-nature)",,20,4,1.93,"Other: specify","log10 EID50/ml",,,
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",3,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"A/Gyrfalcon/Washington/40188-6/2014 (H5N8), Merck Animal Health",,"Other (specify):","RNA particle vaccine",SUBCUTANEOUS,,0,"10^7.0 RNA particle/bird",,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,7,4,days,8,days,,,,,,,21,"Vaccinated, not challenged","Haemagglutination inhibition test (HIT)","Against challenge virus, titers as log2; cut-off 3 log2",Antibody,,"Blood serum (as part-nature)",,20,20,3.9,"Other: specify","titer log2",,,
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",3,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"A/Gyrfalcon/Washington/40188-6/2014 (H5N8), Merck Animal Health",,"Other (specify):","RNA particle vaccine",SUBCUTANEOUS,,0,"10^7.0 RNA particle/bird",,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,7,4,days,8,days,,,,,,,35,"After challenge","Haemagglutination inhibition test (HIT)","Against challenge virus, titers as log2; cut-off 3 log2",Antibody,,"Blood serum (as part-nature)",,13,13,7.11,"Other: specify","titer log2",,,
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",4,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,20,1,days,3,days,,,,,,,23,"After challenge","Reverse-transcription PCR (RT-PCR)","Cut-off 0.9 log10 EID50/ml","Nucleic acid",,"Other (specify)","oropharyngeal swab",11,11,3.68,"Other: specify","log10 EID50/ml",,,
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",4,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,20,1,days,3,days,,,,,,,23,"After challenge","Reverse-transcription PCR (RT-PCR)","Cut-off 0.9 log10 EID50/ml","Nucleic acid",,"Rectum-anal swab (as part-nature)",,11,11,3.68,"Other: specify","log10 EID50/ml",,,
50397,"Kapczynski, D.R., Sylte, M.J., Killian, M.L., Torchetti, M.K., Chrzastek, K., Suarez, D.L. (2017).  Protection of commercial turkeys following inactivated or recombinant H5 vaccine application against the 2015 U.S. H5N2 clade 2.3.4.4 highly pathogenic avian influenza virus Veterinary Immunology and Immunopathology, 191(#issue#),  74",seungeun.han,,4,,"United States",2017,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/turkey/Minnesota/12582/2015, H5N2 clade 2.3.4.4",4,"Turkeys (Meleagridis)",,0.75,animal,,20,commercial,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"3 x 10^6 EID50 /bird",21,20,1,days,3,days,,,,,,,21,"Challenge day","Haemagglutination inhibition test (HIT)","Against challenge virus, titers as log2; cut-off 3 log2",Antibody,,"Blood serum (as part-nature)",,20,20,<3,"Other: specify","titer log2",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",1,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"H5N1 Re-6",,"Other (specify):",Inactivated,INTRAMUSCULAR,,0,300ul,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,6,8,days,12,days,,,,,,,21,"Vaccinated, not challenged","Haemagglutination inhibition test (HIT)","Against homologous clade 2.3.2.1 antigen by OIE method",Antibody,,"Blood serum (as part-nature)",,12,12,7,"Other: specify","titer log2",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",1,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"H5N1 Re-6",,"Other (specify):",Inactivated,INTRAMUSCULAR,,0,300ul,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,6,8,days,12,days,,,,,,,21,"Vaccinated, not challenged","Haemagglutination inhibition test (HIT)","Against heterologous clade 2.3.4.4 antigen by OIE method",Antibody,,"Blood serum (as part-nature)",,12,12,3,"Other: specify","titer log2",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",1,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"H5N1 Re-6",,"Other (specify):",Inactivated,INTRAMUSCULAR,,0,300ul,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,6,8,days,12,days,,,,,,,24,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Other (specify)","oropharyngeal swab",12,0,,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",1,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"H5N1 Re-6",,"Other (specify):",Inactivated,INTRAMUSCULAR,,0,300ul,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,6,8,days,12,days,,,,,,,26,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Other (specify)","oropharyngeal swab",12,1,3.2,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",1,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"H5N1 Re-6",,"Other (specify):",Inactivated,INTRAMUSCULAR,,0,300ul,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,6,8,days,12,days,,,,,,,28,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Other (specify)","oropharyngeal swab",12,3,2.8,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",1,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"H5N1 Re-6",,"Other (specify):",Inactivated,INTRAMUSCULAR,,0,300ul,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,6,8,days,12,days,,,,,,,24,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Rectum-anal swab (as part-nature)",,12,0,,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",1,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"H5N1 Re-6",,"Other (specify):",Inactivated,INTRAMUSCULAR,,0,300ul,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,6,8,days,12,days,,,,,,,26,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Rectum-anal swab (as part-nature)",,12,1,2.7,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",1,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"H5N1 Re-6",,"Other (specify):",Inactivated,INTRAMUSCULAR,,0,300ul,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,6,8,days,12,days,,,,,,,28,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Rectum-anal swab (as part-nature)",,12,3,2.6,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",2,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,12,3,days,6,days,,,,,,,21,"Challenge day","Haemagglutination inhibition test (HIT)","Against homologous clade 2.3.2.1 antigen by OIE method",Antibody,,"Blood serum (as part-nature)",,12,0,0,"Other: specify","titer log2",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",2,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,12,3,days,6,days,,,,,,,21,"Challenge day","Haemagglutination inhibition test (HIT)","Against heterologous clade 2.3.4.4 antigen by OIE method",Antibody,,"Blood serum (as part-nature)",,12,0,0,"Other: specify","titer log2",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",2,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,12,3,days,6,days,,,,,,,24,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Other (specify)","oropharyngeal swab",12,5,2.0,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",2,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,12,3,days,6,days,,,,,,,26,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Other (specify)","oropharyngeal swab",3,3,4.0,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",2,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,12,3,days,6,days,,,,,,,24,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Rectum-anal swab (as part-nature)",,12,2,1.6,"Other: specify","log10 EID50/ml",,,
50407,"Zhang, Z., Zhang, J., Zhang, J., Li, Q., Miao, P., Liu, J., Li, S., Huang, J., Liao, M., Fan, H. (2017).  Coimmunization with recombinant epitope-expressing baculovirus enhances protective effects of inactivated H5N1 vaccine against heterologous virus Veterinary Microbiology, 203(#issue#),  143",seungeun.han,,4,,China,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/goose/Guangdong/14079/2013, H5N1 clade 2.3.4.4",2,"Chickens (Gallus)",,0.75,animal,,12,SPF,,"Unvaccinated control",,,,,,,,,,,,"Challenged with the pathogen","OTHER: specify",intranasal,,"10^6 EID50/bird",21,12,3,days,6,days,,,,,,,26,"After challenge","Virus Isolation (VI)","Inoculation on the allantoic cavity of embryonated chicken eggs",Virus,,"Rectum-anal swab (as part-nature)",,3,3,3.8,"Other: specify","log10 EID50/ml",,,
50434,"Kilany, W.H., Safwat, M., Mohammed, S.M., Salim, A., Fasina, F.O., Fasanmi, O.G., Shalaby, A.G., Dauphin, G., Hassan, M.K., Lubroth, J., Jobre, Y.M. (2016).  Protective efficacy of recombinant turkey herpes virus (rHVT-H5) and inactivated H5N1 vaccines in commercial Mulard ducks against the highly pathogenic avian influenza (HPAI) H5N1 clade 2.2.1 virus PLoS ONE, 11(6),  #Pages#",seungeun.han,,4,,Egypt,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/chicken/Egypt/128s/2012, H5N1",1,"Ducks (Anatidae)",,0.033,animal,,10,commercial,,"Vectormune AI (rHVT-H5)",,"Other (specify):","live recombinant vectored vaccine",SUBCUTANEOUS,,0,"12450 pfu/0.3ml/bird",,,,,"Challenged with the pathogen","OTHER: specify",oculo-nasal,,"10^6 EID50/bird",21,2,8,days,,,,,,,,,24,"After challenge","Reverse-transcription PCR (RT-PCR)","The detection limit is 2.3 copies","Nucleic acid",,"Other (specify)","oropharyngeal swab",10,8,4.1,"Other: specify","log10 PCR copies",,,"Mortality date was given as the mean death time. Mean death time was recorded at Question27 mortality Time minimum."
50434,"Kilany, W.H., Safwat, M., Mohammed, S.M., Salim, A., Fasina, F.O., Fasanmi, O.G., Shalaby, A.G., Dauphin, G., Hassan, M.K., Lubroth, J., Jobre, Y.M. (2016).  Protective efficacy of recombinant turkey herpes virus (rHVT-H5) and inactivated H5N1 vaccines in commercial Mulard ducks against the highly pathogenic avian influenza (HPAI) H5N1 clade 2.2.1 virus PLoS ONE, 11(6),  #Pages#",seungeun.han,,4,,Egypt,2016,"HPAI - Highly Pathogenic Avian Influenza",serotype,,"A/chicken/Egypt/128s/2012, H5N1",1,"Ducks (Anatidae)",,0.033,animal,,10,commercial,,"Vectormune AI (rHVT-H5)",,"Other (specify):","live recombinant vectored vaccine",SUBCUTANEOUS,,0,"12450 pfu/0.3ml/bird",,,,,"Challenged with the pathogen","OTHER: specify",oculo-nasal,,"10^6 EID50/bird",21,2,8,days,,,,,,,,,27,"After challenge","Reverse-transcription PCR (RT-PCR)","The detection limit is 2.3 copies","Nucleic acid",,"Other (specify)","oropharyngeal swab",10,8,3.2,"Other: specify","log10 PCR copies",,,"Mortality date was given as the mean death time. Mean death time was recorded at Question27 mortality Time minimum."
