"Refid","Bibliography","User","Ris Code","Level","DE_DACRAH_OB4_Covetlab_k","studyID
Unique ID to link all observations from the same study or experiment","studyIDNumerical","sampCountry
Country where study was performed","sampY
Year the study was conducted
(-1 if not reported)","agent
Causative agent of vector borne diseases","agentSubtype
DACRAH1 - no need to answer","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below.","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below._comment","agentDetails
The further information given regarding the sutype type given above. ","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC""","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC""_comment","studyTargetVector
Please select the specific vector.","sampUnit
Type of unit sampled in the study and reported in sampUnitSize
 ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize
 _comment","sampUnitSize
Number of units in the group (the number of units listed above (e.g. herds))
(-1 if not reported, -2 if not relevant)","route
Method of application or treatment regime or administration method of vaccine","route
Method of application or treatment regime or administration method of vaccine_comment","intervention
Intervention or treatment","intervention
Intervention or treatment_comment","testsubstance
Insecticide or pharmaceutical substance","testsubstance2
Insecticide or pharmaceutical substance","test substance CATEGORICAL","test substance2 CATEGORICAL","formulation %
The concentration given for the preparation, if given (p.e. 5%)","formulation2 %
The concentration given for the preparation, if given (p.e. 5%)","dose
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","dose2
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","doseUnits
Units of measurement for the reported parameter value","doseUnits
Units of measurement for the reported parameter value_comment","doseUnits2
Units of measurement for the reported parameter value","doseUnits2
Units of measurement for the reported parameter value_comment","dosageFreq
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageFreq2
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageInterval
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","dosageInterval2
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","Exposure time","Exposure time units","SubstanceDoseComments
Add any other comments about dosage and the test substance.
Please try as much as possible to enter some quantitiative data
in the fields above (for instance the most frequent dosage regimen,
or the start regimen), and then add any additional details here.
Please also try to leave the testSubstance name as clean as possible","sampledMatrix
Tissue sampled for testing","sampledMatrix
Tissue sampled for testing_comment","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","timePoint
Indicate time point in days from the start of the study to which the following parameters (dead, clinical and tested) correspond","dead (or mortality)
Number of dead vectors (if reported as percentage, please provide percentage -e.g. 20 for 20% - and change the units in the following question).","dead (or mortality) Units
Units of measurement of the reported dead/mortality","mortalityLCI
Lower confidence interval limit for mortality reported as percentage (use 20 for 20%, for example)","mortalityUCI
Upper confidence interval limit for mortality reported as percentage (use 20 for 20%, for example)","mortalityTime
If provided in the paper, please report the time between application of the treatment and recorded mortality. Use this question for the numerical value and the next for the unit.","mortalityTimeUnits
The units for the reported time to mortality.","efficacy
1-RR","LCI_EF
Lower Confidence interval limit - Efficacy","UCI_EF
Upper Confidence interval limit - Efficacy
 ","Outcome type","Number given
numerical part of the outcome","Units
 ","nTested
Number of samples tested","nNegative
Number of samples negative","nPositive
Number of samples positive","OUTCOMESOtherComments
Please give any details that could not be reported in the format above.
Please first make sure to report as many results as possible in a quantitative format above, and leave any additional comments here.","Study design STRENGTHSAdd notes on the strengths of the study design.","Study design WEAKNESSESAdd any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?"
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,7,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, III-IV instars (4d old larvae)",,,7,73.0,percentage,42.3,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,10,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, III-IV instars (4d old larvae)",,,10,99.3,percentage,97.8,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,4,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, III-IV instars (4d old larvae)",,,4,24.5,percentage,0,53.5,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,1,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, III-IV instars (4d old larvae)",,,1,0,percentage,0,1.5,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,10,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,10,93.3,percentage,85.9,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,14,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,14,99.8,percentage,99.3,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,7,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,7,55.5,percentage,19.9,89.1,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,4,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,4,10.0,percentage,5.3,14.7,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,4,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,,,0.003,,g/L,,,,1,,,,1,days,"pyriproxyfen (Sumilarv 0.5G; AI, 0.5z; Sumitomo Chemical Co., Tokyo, Japan), 
2.0–10.0 g/m3 (0.6–2.9 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,1,0.5,percentage,0,1.5,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,3,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,"larvicidal oil (Hanwai general cleaner)",,"OTHER - oil combinations",,,,635,,ml/L,,,,1,,,,1,days,"one larvicidal oil (Hanwai general cleaner; Hanwai Chemical Products Co., Hong Kong, China), 
22.0 mL/m2 (190.5 mL/300 mL)",,,"Not applicable",,"Cumulative pupal mortality rate",,,1,92.3,percentage,84.2,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,3,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,"larvicidal oil (Hanwai general cleaner)",,"OTHER - oil combinations",,,,635,,ml/L,,,,1,,,,3,days,"one larvicidal oil (Hanwai general cleaner; Hanwai Chemical Products Co., Hong Kong, China), 
22.0 mL/m2 (190.5 mL/300 mL)",,,"Not applicable",,"Cumulative pupal mortality rate",,,3,93.3,percentage,86.5,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,3,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,"larvicidal oil (Hanwai general cleaner)",,"OTHER - oil combinations",,,,635,,ml/L,,,,1,,,,4,days,"one larvicidal oil (Hanwai general cleaner; Hanwai Chemical Products Co., Hong Kong, China), 
22.0 mL/m2 (190.5 mL/300 mL)",,,"Not applicable",,"Cumulative immature mortality, III-IV instars (4d old larvae)",,,4,100,percentage,92.5,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,3,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,"larvicidal oil (Hanwai general cleaner)",,"OTHER - oil combinations",,,,635,,ml/L,,,,1,,,,1,days,"one larvicidal oil (Hanwai general cleaner; Hanwai Chemical Products Co., Hong Kong, China), 
22.0 mL/m2 (190.5 mL/300 mL)",,,"Not applicable",,"Cumulative immature mortality, III-IV instars (4d old larvae)",,,1,97.5,percentage,92.5,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,3,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,"larvicidal oil (Hanwai general cleaner)",,"OTHER - oil combinations",,,,635,,ml/L,,,,1,,,,7,days,"one larvicidal oil (Hanwai general cleaner; Hanwai Chemical Products Co., Hong Kong, China), 
22.0 mL/m2 (190.5 mL/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,7,100,percentage,97.8,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,3,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,"larvicidal oil (Hanwai general cleaner)",,"OTHER - oil combinations",,,,635,,g/L,,,,1,,,,1,days,"one larvicidal oil (Hanwai general cleaner; Hanwai Chemical Products Co., Hong Kong, China), 
22.0 mL/m2 (190.5 mL/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,1,97.3,percentage,91.8,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,3,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,"larvicidal oil (Hanwai general cleaner)",,"OTHER - oil combinations",,,,635,,ml/L,,,,1,,,,4,days,"one larvicidal oil (Hanwai general cleaner; Hanwai Chemical Products Co., Hong Kong, China), 
22.0 mL/m2 (190.5 mL/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,4,99.3,percentage,97.8,100,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,2,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,temephos,,temephos,,,,100000,,g/L,,,,1,,,,3,days,"temephos (Antimos 1.0z SG; AI, 1.0z;The Wei Erdeng Co., Taiwan). 
100 mg/L (30 mg/300 mL)",,,"Not applicable",,"Cumulative pupal mortality rate",,,3,7.8,,0,18,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,2,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,temephos,,temephos,,,,100000,,g/L,,,,1,,,,1,days,"temephos (Antimos 1.0z SG; AI, 1.0z;The Wei Erdeng Co., Taiwan). 
100 mg/L (30 mg/300 mL)",,,"Not applicable",,"Cumulative pupal mortality rate",,,1,1.3,,84.2,2.6,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,2,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,temephos,,temephos,,,,100000,,g/L,,,,1,,,,1,days,"temephos (Antimos 1.0z SG; AI, 1.0z;The Wei Erdeng Co., Taiwan). 
100 mg/L (30 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, III-IV instars (4d old larvae)",,,1,100,,,,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,2,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,temephos,,temephos,,,,100000,,g/L,,,,1,,,,1,days,"temephos (Antimos 1.0z SG; AI, 1.0z;The Wei Erdeng Co., Taiwan). 
100 mg/L (30 mg/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,1,100,,,,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,1,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,Bti,,"Bacillus thuringiensis svar israelensis (Bti)",,,,1,,granule/cm2,,,,1,,,,3,days,"Bti (Vectobac G; active ingredient [AI], 2.8z; 200 international toxic units/mg; Abbott Laboratories, North Chicago, Ill.,USA), 
1 granule per 100 cm2 (0.28 granule/300 mL)",,,"Not applicable",,"Cumulative pupal mortality rate",,,3,1.5,,0,3.4,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,1,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,Bti,,"Bacillus thuringiensis svar israelensis (Bti)",,,,1,,granule/cm2,,,,1,,,,1,days,"Bti (Vectobac G; active ingredient [AI], 2.8z; 200 international toxic units/mg; Abbott Laboratories, North Chicago, Ill.,USA), 
1 granule per 100 cm2 (0.28 granule/300 mL)",,,"Not applicable",,"Cumulative pupal mortality rate",,,1,1.0,,0,2.2,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,1,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,Bti,,"Bacillus thuringiensis svar israelensis (Bti)",,,,1,,granule/cm2,,,,1,,,,1,days,"Bti (Vectobac G; active ingredient [AI], 2.8z; 200 international toxic units/mg; Abbott Laboratories, North Chicago, Ill.,USA), 
1 granule per 100 cm2 (0.28 granule/300 mL)",,,"Not applicable",,"Cumulative immature mortality, III-IV instars (4d old larvae)",,,1,100,,,,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,1,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,Bti,,"Bacillus thuringiensis svar israelensis (Bti)",,,,1,,granule/cm2,,,,1,,,,1,days,"Bti (Vectobac G; active ingredient [AI], 2.8z; 200 international toxic units/mg; Abbott Laboratories, North Chicago, Ill.,USA), 
1 granule per 100 cm2 (0.28 granule/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,1,100,,,,,,,,,,,,,,,,,
14133," Chih-Yuan Wang, Hwa-Jen Teng, Si-Jia Lee, Cheo Lin, Jhy-Wen Wu, Ho-Sheng Wu (2013).  Efficacy of Various Larvicides against Aedes aegypti Immatures in the Laboratory Japanese Journal of Infectious Diseases, 66(#issue#),  341-344",Fernanda.dorea,,4,,,6,"Taiwan, Province of China",2011,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,4,"Vector directly exposed",,"Insecticide treatment",,water,,CONTROL,,,,29,,ml/L,,,,1,,,,1,days,"one monomolecular film product, Aquatain AMF (Aquatain Products Pty Ltd., Dandenong South, Australia)
1.0 mL/m2 (8.7 mL/300 mL)",,,"Not applicable",,"Cumulative immature mortality, I–II instars (1d old larvae)",,,1,3.3,percentage,0,9.8,,,,,,,,,,,,,,
14143," Doan Huong Thi Thanh, JinHyeong Noh, YoungHa Kim, MiSun Yoo, K. E. Reddy, SukChan Jung, SeungWon Kang (2013).  The efficacy of avermectins (ivermectin, doramectin and abamectin) as treatments for infestation with the tick Haemaphysalis longicornis on rabbits in Korea Veterinary Parasitology, 198(#issue#),  406-409",tobias.lilja,,4,,,1,"Korea, Republic of",2012,"Not applicable (vector study)",,,,,"Rabbit (Oryctolagus cuniculus)",,ticks,"animal / individual",,6,SUBCUTANEOUS,,"Insecticide treatment",,Abamectin,,OTHERS,,,,0.2,,mg/kg,,,,1,,,,,,,,,"Not applicable",,,,,14,10,percentage,,,,,,,,,,,,,,,,
14143," Doan Huong Thi Thanh, JinHyeong Noh, YoungHa Kim, MiSun Yoo, K. E. Reddy, SukChan Jung, SeungWon Kang (2013).  The efficacy of avermectins (ivermectin, doramectin and abamectin) as treatments for infestation with the tick Haemaphysalis longicornis on rabbits in Korea Veterinary Parasitology, 198(#issue#),  406-409",tobias.lilja,,4,,,2,"Korea, Republic of",2012,"Not applicable (vector study)",,,,,"Rabbit (Oryctolagus cuniculus)",,ticks,"animal / individual",,6,SUBCUTANEOUS,,"Insecticide treatment",,Doramectin,,OTHERS,,,,0.2,,mg/kg,,,,1,,,,,,,,,"Not applicable",,,,,14,35.7,percentage,,,,,,,,,,,,,,,,
14143," Doan Huong Thi Thanh, JinHyeong Noh, YoungHa Kim, MiSun Yoo, K. E. Reddy, SukChan Jung, SeungWon Kang (2013).  The efficacy of avermectins (ivermectin, doramectin and abamectin) as treatments for infestation with the tick Haemaphysalis longicornis on rabbits in Korea Veterinary Parasitology, 198(#issue#),  406-409",tobias.lilja,,4,,,3,"Korea, Republic of",2012,"Not applicable (vector study)",,,,,"Rabbit (Oryctolagus cuniculus)",,ticks,"animal / individual",,6,SUBCUTANEOUS,,"Insecticide treatment",,Ivermectin,,Ivermectin,,,,0.200,,mg/kg,,,,1,,,,,,,,,"Not applicable",,,,,14,55,percentage,,,,,,,,,,,,,,,,
