"Refid","Bibliography","User","Ris Code","Level","DE_VBD_PREVALENCE_FINAL_k","studyID
Unique ID to link all observations from the same study or experiment","agent
Causative agent of vector borne diseases","agentSubtypeType","agentSubtypeType_comment","agentDetails
The further information given regarding the sutype type given above. ","sampCountry
Country where study was performed","sampCountry
Country where study was performed_comment","SampArea_text
Please provide the name of the sampled area.","Sampling context
reason for sampling, type of study, surveillance types","Sampling context
reason for sampling, type of study, surveillance types_comment","Reason for sampling
Free text to describe the reason for performing pathogen testing (e.g. serological survey, trade purposes), if not already clear from the study type","Disease situation / outbreak phase
Please report outbreak phase or any other information given regarding the disease situation in the area. ","sampY
Start year of study/outbreak
(-1 if not specified)","sampM
Start month of study/outbreak
(-1 if not specified)","duration
Duration of study/outbreak in months","analysisY
Year when the analysis was completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed_comment","sampPoint
Point in the food chain, where the samples were taken","sampPoint
Point in the food chain, where the samples were taken_comment","sampStrategy
Strategy used to select sample units for laboratory analysis","sampStrategy
Strategy used to select sample units for laboratory analysis_comment","Longitudinal/Repeated sampling?
if this is a longitudinal study, describe the scheme of sampling (for instance paired samples with 2 months interval). ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize","sampUnit
Type of unit sampled in the study and reported in sampUnitSize_comment","sampUnitSize
Number of sampling units tested (sample size)","MinAgeMonths
Age of animals in months
(-1 if not specified)","MaxAgeMonths
Age of animals in months
(-1 if not specified)","sampledMatrix
Matrix sampled for testing","sampledMatrix
Matrix sampled for testing_comment","anMethCode
Laboratory test used","anMethCode
Laboratory test used_comment","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","sensitivity
Sensitivity of test","specificity
Specificity of test","nPositive
Number of animals positive","Were all cases confirmed to be IMPORTED (animals believed not to have been infected in the study area) -> YES, only IMPORTED cases","nNegative
Number of animals negative","Disease freedom
was this phrased as a disease freedom investigation?","Design prevalence
If given, in % (p.e. 2%). This is the minimum assumed prevalence of the disease in the region, if it was present.","prevalence (..%, e.g write 7, when the prevalence is 0.07 or 7%)
Reported prevalence in paper","LCI_PR
Lower Confidence interval-prevalence","UCI_PR
Upper confidence interval-prevalence","incidence
Reported incidence value","LCI_I
Lower confidence interval-incidence","UCI_I
Upper confidence interval-incidence","incidenceUnits
Units of reported incidence value","incidence Unit comments
Any further information on incidence units","R0
Basic reproduction number","Lower value of Ro range","Upper level of range or of Ro","impactMeasure
Description of the measure used / reported in the paper","impactValue
Value","impactUnit
Unit","impactUnit
Unit_comment","Clinical signs
If clinical signs were described, please list them here","Severity
If any measure of severity was described, please give an objective summary here","More info missed?
Are there more detailed information on the clinical progression, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on the type and duration of clinical signs? ","Risk factors - INCREASE RISK
if this was a study where risk factor were investigated, please list factors confirmed to be associated with increased disease risk","Risk factors - PROTECTIVE FACTOR
if this was a study where risk factor were investigated, please list factors confirmed to REDUCE disease risk","More info missed?
Are there more detailed information on risk factors, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on risk factors? ","Quality check and other notes
if relevant, please add any notes about information in the paper which you think is relevant but was not capured in the form.
Also add any notes about detected biases or other methodological flaws.","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer_comment"
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Western region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Goat (Capra aegagrus hircus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,254,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Western region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Sheep (Ovis aries)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,244,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Central region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Camel (Camelus bactrianus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,128,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Central region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Cattle (Bos taurus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,87,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Central region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Goat (Capra aegagrus hircus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,226,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Northern region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Camel (Camelus bactrianus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,59,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Northern region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Goat (Capra aegagrus hircus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,231,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Western region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Sheep (Ovis aries)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,360,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Eastern region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Camel (Camelus bactrianus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,74,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Eastern region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Cattle (Bos taurus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,302,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Eastern region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Goat (Capra aegagrus hircus)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,200,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
315,"A. I. Al-Afaleq, M. F. Hussein, A. A. Al-Naeem, F. Housawi and A. G. Kabati (2012).  Seroepidemiological study of Rift Valley fever (RVF) in animals in Saudi Arabia Tropical Animal Health and Production, 44(7),  1535-1539",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Eastern region","Surveillance active (active search for cases)",,"Serological survey, testing areas not affected by 2000 outbreaks.","Outbreak - Resolved (post outbreak phase)",0,,,0,"Sheep (Ovis aries)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,345,,,"Blood serum",,"IgG ELISA",,IgG,,"IgG sandwich ELISA",,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
326,"T. A. Al-Azraqi, A. A. El Mekki and A. A. Mahfouz (2012).  Rift Valley Fever in Southwestern Saudi Arabia: A sero-epidemiological study seven years after the outbreak of 2000-2001 Acta Tropica, 123(2),  111-116",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Southwestern Saudi Arabia","Surveillance active (active search for cases)",,"Serological survey 7 years after the outbreaks.","Outbreak - Resolved (post outbreak phase)",2007,,,2008,"Human (homo sapiens)",,Hospital,,"Objective (random) sampling",,,"host (animal or human)",,2322,,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,IgG,,,,,139,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
326,"T. A. Al-Azraqi, A. A. El Mekki and A. A. Mahfouz (2012).  Rift Valley Fever in Southwestern Saudi Arabia: A sero-epidemiological study seven years after the outbreak of 2000-2001 Acta Tropica, 123(2),  111-116",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,"Southwestern Saudi Arabia","Surveillance active (active search for cases)",,"Serological survey 7 years after the outbreaks.","Outbreak - Resolved (post outbreak phase)",2007,,,2008,"Human (homo sapiens)",,Hospital,,"Objective (random) sampling",,,"host (animal or human)",,2322,,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,IgM,,"RVF-specific IgG and IgM",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
329,"T. Alazraqi, A. A. El Mekki and A. Mahfouz (2012).  Seroprevalence of Rift Valley Fever among abattoirs workers in Southwestern Saudi Arabia International Journal of Infectious Diseases, 16(#issue#),  E246-E246",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Saudi Arabia",,,Unspecified,,"Testing high risk, ocupationally exposed abattoir workers.","Outbreak - Resolved (post outbreak phase)",2008,,,0000,"Human (homo sapiens)",,Slaughterhouse,,"Selective (risk-based) sampling",,,"host (animal or human)",,62,,,"Blood serum",,"IgG ELISA",,,,"IgG ELISA",,,4,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,M'Tsangamouji,"Outbreak investigation",,"Serological survey of illegally introduced goats.","Outbreak - On-going",2008,,,2008,"Goat (Capra aegagrus hircus)",,,,"Objective (random) sampling",,,"host (animal or human)",,29,,,"Blood serum",,"IgG ELISA",,IgG,,"competitive IgG ELISA",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,M'Tsangamouji,"Outbreak investigation",,"Serological survey of illegally introduced goats.","Outbreak - On-going",2008,,,2008,"Goat (Capra aegagrus hircus)",,,,"Objective (random) sampling",,,"host (animal or human)",,29,,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,IgM,,"competitive IgG ELISA",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,M'Tsangamouji,"Outbreak investigation",,"Serological survey of illegally introduced goats.","Outbreak - On-going",2008,,,2008,"Cattle (Bos taurus)",,,,"Objective (random) sampling",,,"host (animal or human)",,79,,,"Blood serum",,"IgG ELISA",,IgG,,"competitive IgG ELISA",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,M'Tsangamouji,"Outbreak investigation",,"Serological survey of illegally introduced goats.","Outbreak - On-going",2008,,,2008,"Cattle (Bos taurus)",,,,"Objective (random) sampling",,,"host (animal or human)",,79,,,"Blood serum",,"IgG ELISA",,IgG,,"competitive IgG ELISA",,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,,"Monitoring &ndash;active",,"Serological survey of illegally introduced goats.","Outbreak - Resolved (post outbreak phase)",2007,,,2008,"Cattle (Bos taurus)",,,,Unspecified,,,"host (animal or human)",,301,,,"Blood serum",,"IgG ELISA",,IgG,,"competitive IgG ELISA",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,,"Monitoring &ndash;active",,"Assess previous circulation of the pathogen, by testing stored samples from previous years.","Outbreak - Resolved (post outbreak phase)",2004,,,2008,"Cattle (Bos taurus)",,,,Unspecified,,,"host (animal or human)",,130,,,"Blood serum",,"IgG ELISA",,IgG,,"competitive IgG ELISA",,,16,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,,"Monitoring &ndash;active",,"Assess previous circulation of the pathogen, by testing stored samples from previous years.","Outbreak - Resolved (post outbreak phase)",2005,,,2008,"Cattle (Bos taurus)",,,,Unspecified,,,"host (animal or human)",,130,,,"Blood serum",,"IgG ELISA",,IgG,,"competitive IgG ELISA",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,,"Monitoring &ndash;active",,"Assess previous circulation of the pathogen, by testing stored samples from previous years.","Outbreak - Resolved (post outbreak phase)",2007,,,2008,"Cattle (Bos taurus)",,,,Unspecified,,,"host (animal or human)",,126,,,"Blood serum",,"IgG ELISA",,IgG,,"competitive IgG ELISA",,,39,,,,,31,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,,"Monitoring &ndash;active",,"Assess previous circulation of the pathogen, by testing stored samples from previous years.","Outbreak - Resolved (post outbreak phase)",2006,,,2008,"Cattle (Bos taurus)",,,,Unspecified,,,"host (animal or human)",,130,,,"Blood serum",,"IgG ELISA",,IgG,,"competitive IgG ELISA",,,16,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
330,"C. Cetre-Sossah, A. Pedarrieu, H. Guis, C. Defernez, M. Bouloy, J. Favre, S. Girard, E. Cardinale and E. Albina (2012).  Prevalence of Rift Valley Fever among Ruminants, Mayotte Emerging Infectious Diseases, 18(6),  972-975",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,Mayotte,,,"Monitoring &ndash;active",,"testing for IgM antibodies","Not reported",2008,,,2009,"Goat (Capra aegagrus hircus)",,,,Unspecified,,,herd/flock,,70,,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,IgM,,"competitive IgG ELISA",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,"N. Heinrich, E. Saathoff, N. Weller, P. Clowes, I. Kroidl, E. Ntinginya, H. Machibya, L. Maboko, T. Loescher, G. Dobler and M. Hoelscher (2012).  High Seroprevalence of Rift Valley Fever and Evidence for Endemic Circulation in Mbeya Region, Tanzania, in a Cross-Sectional Study Plos Neglected Tropical Diseases, 6(3),  #Pages#",Eliana.LIMA,,3,,1,"Rift Valley fever virus",,,,"Tanzania, United Republic of",,"Mbeya region, southwestern Tanzania","Surveillance active (active search for cases)",,"Serological survey","Not reported",2007,06,12,2008,"Human (homo sapiens)",,"Other: specify",,"Objective (random) sampling",,,"host (animal or human)",,1228,,,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antigen,,"Indirect immunofloerescence assay (IIFA)",,,64,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,
374,"H. Albayrak and E. Ozan (2012).  The Investigation of Pestivirus and Rift Valley Fever Virus Infections in Aborted Ruminant Foetuses in the Blacksea Region in Turkey Kafkas Universitesi Veteriner Fakultesi Dergisi, 18(3),  457-461",Eliana.LIMA,,3,,3,"Rift Valley fever virus",,,,Turkey,,"Blacksea region of northern Turkey",Unspecified,,"Testing for presence of agent in aborted foetuses","Not reported",2009,11,2,2009,"Cattle (Bos taurus)",,Unknown,,"Suspect sampling",,,"host (animal or human)",,53,,,"Foetus / stillbirth / neonatus",,"Reverse-transcription PCR (RT-PCR)",,Virus,,"titan One-tube RT-PCR",,,39,,,,,73.6,,,,,,,,,,,,,,,,,,,,,,,
374,"H. Albayrak and E. Ozan (2012).  The Investigation of Pestivirus and Rift Valley Fever Virus Infections in Aborted Ruminant Foetuses in the Blacksea Region in Turkey Kafkas Universitesi Veteriner Fakultesi Dergisi, 18(3),  457-461",Eliana.LIMA,,3,,3,"Rift Valley fever virus",,,,Turkey,,"Blacksea region of northern Turkey",Unspecified,,"Testing for presence of agent in aborted foetuses","Not reported",2009,11,2,2009,"Cattle (Bos taurus)",,Unknown,,"Suspect sampling",,,"host (animal or human)",,53,,,"Foetus / stillbirth / neonatus",,"Reverse-transcription PCR (RT-PCR)",,Virus,,"titan One-tube RT-PCR",,,34,,,,,91.9,,,,,,,,,,,,,,,,,,,,,,,
374,"H. Albayrak and E. Ozan (2012).  The Investigation of Pestivirus and Rift Valley Fever Virus Infections in Aborted Ruminant Foetuses in the Blacksea Region in Turkey Kafkas Universitesi Veteriner Fakultesi Dergisi, 18(3),  457-461",Eliana.LIMA,,3,,3,"Rift Valley fever virus",,,,Turkey,,"Blacksea region of northern Turkey",Unspecified,,"Testing for presence of agent in aborted foetuses","Not reported",2009,11,2,2009,"Goat (Capra aegagrus hircus)",,Unknown,,"Suspect sampling",,,"host (animal or human)",,2,,,"Foetus / stillbirth / neonatus",,"Reverse-transcription PCR (RT-PCR)",,Virus,,"titan One-tube RT-PCR",,,2,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
386,"V. Chevalier, T. Rakotondrafara, M. Jourdan, J. M. Heraud, H. R. Andriamanivo, B. Durand, J. Ravaomanana, P. E. Rollin and R. Rakotondravao (2011).  An Unexpected Recurrent Transmission of Rift Valley Fever Virus in Cattle in a Temperate and Mountainous Area of Madagascar Plos Neglected Tropical Diseases, 5(12),  #Pages#",Eliana.LIMA,,3,,2,"Rift Valley fever virus",,,,Madagascar,,"Anjozorobe district","Surveillance active (active search for cases)",,,"Outbreak - Resolved (post outbreak phase)",2009,05,,2009,"Cattle (Bos taurus)",,Farm,,Census,,,"host (animal or human)",,894,,,,,"Enzyme linked immunosorbent assay (ELISA)",,IgG,,,,,,,,,,28,31,25,,,,,,,,,,,,,,,,,,,,,
386,"V. Chevalier, T. Rakotondrafara, M. Jourdan, J. M. Heraud, H. R. Andriamanivo, B. Durand, J. Ravaomanana, P. E. Rollin and R. Rakotondravao (2011).  An Unexpected Recurrent Transmission of Rift Valley Fever Virus in Cattle in a Temperate and Mountainous Area of Madagascar Plos Neglected Tropical Diseases, 5(12),  #Pages#",Eliana.LIMA,,3,,2,"Rift Valley fever virus",,,,Madagascar,,"Anjozorobe district","Surveillance active (active search for cases)",,,"Not reported",2009,05,,2009,"Cattle (Bos taurus)",,Farm,,Census,,,"host (animal or human)",,894,,,,,"Enzyme linked immunosorbent assay (ELISA)",,IgM,,,,,,,,,,0.8,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
391,"Z. A. Memish, A. Albarrak, M. A. Almazroa, I. Al-Omar, R. Alhakeem, A. Assiri, S. Fagbo, A. MacNeil, P. E. Rollin, N. Abdullah and G. Stephens (2011).  Seroprevalence of Alkhurma and Other Hemorrhagic Fever Viruses, Saudi Arabia Emerging Infectious Diseases, 17(12),  2316-2318",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,"Saudi Arabia",,"Jazan province","Surveillance active (active search for cases)",,,"Not reported",2010,05,0.5,2010,"Human (homo sapiens)",,"Other: specify",,"Objective (random) sampling",,,"host (animal or human)",,1024,,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,IgG,,,,,20,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
391,"Z. A. Memish, A. Albarrak, M. A. Almazroa, I. Al-Omar, R. Alhakeem, A. Assiri, S. Fagbo, A. MacNeil, P. E. Rollin, N. Abdullah and G. Stephens (2011).  Seroprevalence of Alkhurma and Other Hemorrhagic Fever Viruses, Saudi Arabia Emerging Infectious Diseases, 17(12),  2316-2318",Eliana.LIMA,,3,,4,"Rift Valley fever virus",,,,"Saudi Arabia",,"Jazan province","Surveillance active (active search for cases)",,,"Not reported",2010,05,0.5,2010,"Human (homo sapiens)",,"Other: specify",,"Objective (random) sampling",,,"host (animal or human)",,1024,,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,IgM,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,"Z. A. Memish, A. Albarrak, M. A. Almazroa, I. Al-Omar, R. Alhakeem, A. Assiri, S. Fagbo, A. MacNeil, P. E. Rollin, N. Abdullah and G. Stephens (2011).  Seroprevalence of Alkhurma and Other Hemorrhagic Fever Viruses, Saudi Arabia Emerging Infectious Diseases, 17(12),  2316-2318",Eliana.LIMA,,3,,4,"Alkhurma haemorrhagic fever virus",,,,"Saudi Arabia",,"Jizan province","Surveillance active (active search for cases)",,,"Not reported",2010,05,0.5,2010,"Human (homo sapiens)",,"Other: specify",,"Objective (random) sampling",,,"host (animal or human)",,1024,,,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,IgG,,,,,13,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,
