"Refid","Bibliography","Author","Title","Abstract","Year","User","Level","agent
Causative agent of vector borne diseases","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC"""
14170," Michel Franc, et al. 2012."," Michel Franc, Claudio Genchi, Emilie Bouhsira, Stephan Warin, Vassilios Kaltsatos, Laure Baduel, Marc Genchi","Efficacy of dinotefuran, permethrin and pyriproxyfen combination spot-on against Aedes aegypti mosquitoes on dogs","A spot-on formulation combining permethrin, dinotefuran and pyriproxyfen (Vectra 3D (TM) spot-on solution for dogs - one 10-25 kg pipette contains 196 mg dinotefuran, 1429 mg permethrin and 17 mg pyriproxyfen) was evaluated in adult Beagle dogs in a study designed to measure its efficacy to control Aedes aegypti (anti-feeding effect and mortality effect). The trial was performed according to Animal Welfare and Good Clinical Practice. Twelve dogs (five males and seven female, >3 years old, weighing 8.8-13.0 kg) were randomly allocated to treatment groups on pre-treatment mosquito counts: six dogs served as untreated controls, and six dogs were treated with the test formulation. Treatment consisted of applying a combination formulation to deliver at least 46.6 mg kg(-1) permethrin, 6.40 mg kg(-1) dinotefuran and 0.57 mg kg(-1) pyriproxyfen. The combination is designed to control fleas, ticks, sand flies and mosquitoes. Each dog was infested with approximately 100 adult unfed A. aegypti once before treatment (day 6) then at 1, 7, 14,21 and 28 days post-treatment. Counts and engorgement determination of dead and live mosquitoes were performed after 1 h exposure period. In the treated group (group A), the repellency effect of the product based on engorgement status (anti-feeding effect), was 91.5%, 94%, 94.7%, 94% and 87% at 1, 7, 14,21 and 28 days post-treatment. Mortality effect or insecticidal efficacy calculated at the end of the 1-h exposure was almost identical when calculated 24 h after the 1-h exposure and remained above 93% until the end of the in-life phase. No adverse events were observed following treatment, including observations conducted 2,4 and 24 h after the last dog was treated. (C) 2012 Elsevier B.V. All rights reserved.",2012,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
14173," Soleimani-Ahmadi M, et al. 2012."," M. Soleimani-Ahmadi, H. Vatandoost, M. Shaeghi, A. Raeisi, F. Abedi, M. R. Eshraghian, A. Madani, R. Safari, M. A. Oshaghi, M. Abtahi, H. Hajjaran","Field evaluation of permethrin long-lasting insecticide treated nets (Olyset (R)) for malaria control in an endemic area, southeast of Iran","Long lasting insecticide treated nets (LLINs) have been advocated as an effective tool for prevention and control of malaria. Olyset net was the first LLINs which became commercially available and obtained WHO approval. According to the national strategic plan on evaluation of Olyset net, a field trial was conducted to determine the efficacy of these nets against malaria vectors in an endemic area in the southeast of Iran. Fourteen villages with similar topographical and epidemiological situations were selected and randomly assigned to two clusters of the study: Olyset net and untreated net. Distribution of nets was carried out to cover 100% of the population in Olyset net and untreated net cluster. Anopheline mosquitoes were collected monthly using different WHO standard methods in both areas to determine their abundance, feeding pattern and resting behaviour. Human blood index was determined using ELISA test. Additionally, Olyset nets were evaluated for their biological activity using WHO cone bioassay test by susceptible colony of Anopheles stephensi (Beech strain) and then for insecticide residues by employing high performance thin layer chromatography. Malaria incidence was measured by passive and active case detection from all study population. In total 2115 adult anopheline mosquitoes were collected and identified using morphological characters. They comprised of seven species: Anopheles dthali (Liston), A. culicifacies (Giles). A. stephensi (Liston). A. superpictus (Grassi), A.fluviatilis (James), A. moghulensis (Christophers) and A. turkhudi (Liston). A. dthali, A. culicifacies and A. stephensi were most prevalent species in both areas. In the Olyset net study area, there was a significant reduction of 41.1%, 54.4%, 59.39% and 64.1% in the indoor-resting density of A. culicifacies, A. stephensi, A. dthali and A. superpictus, respectively, with an overall reduction of 39.3% in total mosquitoes in comparison with untreated net area. A significant reduction was also observed in human blood index of vector species in the Olyset net villages. Bioefficacy test results of Olyset nets showed that the median knockdown time was 1.48 and 3.25 min, while the average mortality rate was 100% and 72.3%+/- 7.07 in baseline and after 1 year of intervention, respectively. The average permethrin content reached to 68.31% (683.1 mg/m(2)) of the initial insecticide dose of 937 +/- 21.69 mg/m(2) (nearly 1000 mg/m(2)) at the end of intervention. Malaria incidence was reduced by 96.6% and 64.8% in the village with Olyset nets and in the villages with untreated nets, respectively. During intervention period, there was a reduction of 93.2% in malaria incidence in Olyset net area as compared to the untreated area. This study indicated that Olyset nets have a major impact on malaria vectors and disease burden; therefore it could be recommended as an effective personal protection tool for malaria control in malarious areas. (C) 2012 Elsevier B.V. All rights reserved.",2012,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
14182," Dorothee Stanneck, et al. 2012."," Dorothee Stanneck, Eva M. Kruedewagen, Josephus J. Fourie, Ivan G. Horak, Wendell Davis, Klemens J. Krieger","Efficacy of an imidacloprid/flumethrin collar against fleas and ticks on cats","Background: The objectives of the studies listed here were to ascertain the therapeutic and sustained efficacy of 10% imidacloprid (w/w) and 4.5% flumethrin (w/w) incorporated in a slow-release matrix collar, against laboratory-infestations of fleas and ticks on cats. Efficacy was evaluated against the flea Ctenocephalides felis felis, and the ticks Ixodes ricinus, Amblyomma americanum and Rhipicephalus turanicus. The number of studies was so large that only a general overview can be presented in this abstract. Methods: Preventive efficacy was evaluated by infesting groups of cats (n = 8-10) with C. felis felis and/or I. ricinus, A. americanum or R. turanicus at monthly intervals at least, for a period of up to 8 months. Efficacy against fleas was evaluated 24 to 48 h after treatment and 24 h after infestation, and against ticks at 6 h (repellent) or 48 h (acaricidal) after infestation. Efficacy against flea larvae was evaluated over a period of 8 months by incubating viable flea eggs on blanket samples after cat contact. In all cases efficacy was calculated by comparison with untreated negative control groups. Results: Efficacy against fleas (24 h) generally exceeded 95% until study termination. In vitro efficacy against flea larvae exceeded 92% until Day 90 and then declined to 67% at the conclusion of the study on Day 230. Sustained acaricidal (48 h) efficacy over a period of eight months was consistently 100% against I. ricinus from Day 2 after treatment, 100% against A. americanum, except for 98.5% and 97.7% at two time-points, and between 94% and 100% against R. turanicus. From Day 2 until 8 months after treatment the repellent (6 h), efficacy was consistently 100% against I. ricinus, and between 54.8% and 85.4% against R. turanicus. Conclusion: The rapid insecticidal and acaricidal properties of the medicated collars against newly-acquired infestations of fleas and ticks and their sustained high levels of preventive efficacy have been clearly demonstrated. Taking into account the seasonality of fleas and ticks, the collars have the potential to prevent the transmission of vector-borne diseases and other conditions directly associated with infestation throughout the season of parasite abundance.",2012,Fernanda.dorea,4,"Not applicable (vector study)","Cat (Felis catus)"
14185," Dorothee Stanneck, et al. 2012."," Dorothee Stanneck, Julia Rass, Isabel Radeloff, Eva Kruedewagen, Christophe Le Sueur, Klaus Hellmann, Klemens Krieger","Evaluation of the long-term efficacy and safety of an imidacloprid 10%/flumethrin 4.5% polymer matrix collar (Seresto (R)) in dogs and cats naturally infested with fleas and/or ticks in multicentre clinical field studies in Europe","Background: The objective of these two GCP multicentre European clinical field studies was to evaluate the long-term efficacy and safety of a new imidacloprid/flumethrin collar (Seresto (R), Bayer AnimalHealth, Investigational Veterinary Product(IVP)) in dogs and cats naturally infested with fleas and/or ticks in comparison to a dimpylat collar (""Ungezieferband fuer Hunde/fuer Katzen"", Beaphar, Control Product (CP)). Methods: 232 (IVP) and 81 (CP) cats and 271(IVP) and 129 (CP) dogs were treated with either product according to label claims and formed the safety population. Flea and tick counts were conducted in monthly intervals for up to 8 months in the efficacy subpopulation consisting of 118 (IVP) + 47 (CP) cats and 197 (IVP) + 94 (CP) dogs. Efficacy was calculated as reduction of infestation rate within the same treatment group and statistically compared between the two treatment groups. Results: Preventive efficacy against fleas in cats/dogs varied in the IVP group between 97.4%/94.1% and 100%/100% (overall mean: 98.3%/96.7%) throughout the 8 month period and in the CP group between 57.1%/28.2% and 96.1%/67.8% (overall mean: 79.3%/57.9%). Preventive efficacy against ticks in cats/dogs varied in the IVP group between 94.0%/91.2% and 100%/100% (overall mean: 98.4%/94.7%) throughout the 8 month period and in the CP group between 90.7%/79.9% and 100%/88.0% (overall mean: 96.9%/85.6%). The IVP group was statistically non-inferior to the CP group, and on various assessment days, statistical superiority was proven for flea and tick count reduction in dogs and cats. Both treatments proved to be safe in dogs and cats with mainly minor local observations at the application site. There was moreover, no incidence of any mechanical problem with the collar in dogs and cats during the entire study period. Conclusions: The imidacloprid/flumethrin collar proved to reduce tick counts by at least 90% and flea counts by at least 95% for a period of at least 7-8 months in cats and dogs under field conditions. Therefore, it can be used as sustainable long-term preventative, covering the whole flea and tick season.",2012,thomas.rosendal,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
14185," Dorothee Stanneck, et al. 2012."," Dorothee Stanneck, Julia Rass, Isabel Radeloff, Eva Kruedewagen, Christophe Le Sueur, Klaus Hellmann, Klemens Krieger","Evaluation of the long-term efficacy and safety of an imidacloprid 10%/flumethrin 4.5% polymer matrix collar (Seresto (R)) in dogs and cats naturally infested with fleas and/or ticks in multicentre clinical field studies in Europe","Background: The objective of these two GCP multicentre European clinical field studies was to evaluate the long-term efficacy and safety of a new imidacloprid/flumethrin collar (Seresto (R), Bayer AnimalHealth, Investigational Veterinary Product(IVP)) in dogs and cats naturally infested with fleas and/or ticks in comparison to a dimpylat collar (""Ungezieferband fuer Hunde/fuer Katzen"", Beaphar, Control Product (CP)). Methods: 232 (IVP) and 81 (CP) cats and 271(IVP) and 129 (CP) dogs were treated with either product according to label claims and formed the safety population. Flea and tick counts were conducted in monthly intervals for up to 8 months in the efficacy subpopulation consisting of 118 (IVP) + 47 (CP) cats and 197 (IVP) + 94 (CP) dogs. Efficacy was calculated as reduction of infestation rate within the same treatment group and statistically compared between the two treatment groups. Results: Preventive efficacy against fleas in cats/dogs varied in the IVP group between 97.4%/94.1% and 100%/100% (overall mean: 98.3%/96.7%) throughout the 8 month period and in the CP group between 57.1%/28.2% and 96.1%/67.8% (overall mean: 79.3%/57.9%). Preventive efficacy against ticks in cats/dogs varied in the IVP group between 94.0%/91.2% and 100%/100% (overall mean: 98.4%/94.7%) throughout the 8 month period and in the CP group between 90.7%/79.9% and 100%/88.0% (overall mean: 96.9%/85.6%). The IVP group was statistically non-inferior to the CP group, and on various assessment days, statistical superiority was proven for flea and tick count reduction in dogs and cats. Both treatments proved to be safe in dogs and cats with mainly minor local observations at the application site. There was moreover, no incidence of any mechanical problem with the collar in dogs and cats during the entire study period. Conclusions: The imidacloprid/flumethrin collar proved to reduce tick counts by at least 90% and flea counts by at least 95% for a period of at least 7-8 months in cats and dogs under field conditions. Therefore, it can be used as sustainable long-term preventative, covering the whole flea and tick season.",2012,thomas.rosendal,4,"Not applicable (vector study)","Cat (Felis catus)"
14187," Constantin T, et al. 2012."," T. Constantin, I. Paraschiv, M. Ionita, I. L. Mitrea","The efficacy of different acaricides against the hard tick Dermacentor marginatus on infested sheep","The aim of the present study was to evaluate the efficacy of four acaricids, from different pharmacologic groups, in control of tick infestation in sheep. Additionally, clinical specific aspects of the infestations were registered. The study was carried out during of March-April 2012, in a southern area of Romania (Colibasi village, Giurgiu County). The therapeutic efficacy of four different acaricides: Deltamethrin (pirethroid), Amitraz (formamidine), Diazinon (organophosphate), and Ivermectine (macrocyclic lactone) on natural tick infestation in sheep was evaluated. The animals (n=40) were divided into four groups (n=10/group) corresponding to the four used drugs. The first three products were used by dipping, in concentration of 0.05% for Delthametrin, 0.05% for Amitraz, and 0.04% for Diazinon. Ivermectine (1%) was subcutaneously injected (0.2 mg/kg). The animals were examined before and after treatment at 3, 5, 7, 14 and 21 days. The number of ticks per animal, the main elective body regions for tick attachment, and the associated lesions, were also registered. A total number of 1054 ticks (938 females, 116 males) were collected from infested sheep, all belonging to the Dermacentor marginatus species. The body areas highly infested were, in order of prevalence: the substernal area (63.6%), sides of the neck (14.2%) and the tail (7.1%). Lesions associated with tick infestation consisted of local irritations and inflammations, nodular dermatitis and micro abscesses. The best acaricidal efficacy was registered for Delthametrin (79.5%, at 3 days and 100% at 5 days p.t.) and Amitraz (90.4%, 96.4% and 100% at 3, 5 and 7 days p.t. respectively); both acaricids preserved full protection at 14 and 21 days after treatment. Ivermectin reached maximum efficacy at 7 days p.t. (92%), afterwards dropping at 79.8% at 21 days p.t.",2012,ann.lindberg,4,"Not applicable (vector study)","Sheep (Ovis aries)"
14191," Okumu FO, et al. 2012."," F. O. Okumu, B. Chipwaza, E. P. Madumla, E. Mbeyela, G. Lingamba, J. Moore, A. J. Ntamatungro, D. R. Kavishe, S. J. Moore","Implications of bio-efficacy and persistence of insecticides when indoor residual spraying and longlasting insecticide nets are combined for malaria prevention","Background: Bio-efficacy and residual activity of insecticides used for indoor residual spraying (IRS) and long-lasting insecticide nets (LLINs) were assessed against laboratory-reared and wild populations of the malaria vector, Anopheles arabiensis in south eastern Tanzania. Implications of the findings are examined in the context of potential synergies and redundancies where IRS and LLINs are combined. Methods: Bioassays were conducted monthly for six months on three LLIN types (Olyset PermaNet 2.0, and Icon Life) and three IRS treatments (2 g/m 2 pirimiphos-methyl, 2 g/m 2 DDT and 0.03 g/m 2 lambda-cyhalothrin, sprayed on mud walls and palm ceilings of experimental huts). Tests used susceptible laboratory-reared An. arabiensis exposed in cones (nets and IRS) or wire balls (nets only). Susceptibility of wild populations was assessed using WHO diagnostic concentrations and PCR for knock-down resistance ( kdr) genes. Results: IRS treatments killed ?85% of mosquitoes exposed on palm ceilings and ?90% of those exposed on mud walls, but up to 50% of this toxicity decayed within 1-3 months, except for DDT. By 6th month, only 7.5%, 42.5% and 30.0% of mosquitoes died when exposed to ceilings sprayed with pirimiphos-methyl, DDT or lambda-cyhalothrin respectively, while 12.5%, 36.0% and 27.5% died after exposure to mud walls sprayed with the same insecticides. In wire-ball assays, mortality decreased from 98.1% in 1st month to 92.6% in 6th month in tests on PermaNet 2.0, from 100% to 61.1% on Icon Life and from 93.2% to 33.3% on Olyset nets. In cone bioassays, mortality reduced from 92.8% in 1st month to 83.3% in 6th month on PermaNet 2.0, from 96.9% to 43.80% on Icon Life and from 85.6% to 14.6% on Olyset. Wild An. arabiensis were 100% susceptible to DDT, 95.8% to deltamethrin, 90.2% to lambda cyhalothrin and 95.2% susceptible to permethrin. No kdr gene mutations were detected. Conclusions: In bioassays where sufficient contact with treated surfaces is assured, LLINs and IRS kill high proportions of susceptible An. arabiensis mosquitoes, though these efficacies decay gradually for LLINs and rapidly for IRS. It is, therefore, important to always add intact nets in sprayed houses, guaranteeing protection even after the IRS decays, and to ensure accurate timing, quality control and regular re-spraying in IRS programmes. By contrast, adding IRS in houses with intact LLINs is unlikely to improve protection relative to LLINs alone, since there is no guarantee that unfed vectors would rest long enough on the sprayed surfaces, and because of the rapid IRS decay. However, there is need to clarify these effects using data from observations of free flying mosquitoes in huts. Physiological susceptibility of An. arabiensis in the area remains 100% against DDT, but is slightly reduced against pyrethroids, necessitating caution over possible spread of resistance. The loss of LLIN toxicity, particularly Olyset nets suggests that protection offered by these nets against An. arabiensis may be primarily due to physical bite prevention rather than insecticidal efficacy.",2012,thomas.rosendal,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
14191," Okumu FO, et al. 2012."," F. O. Okumu, B. Chipwaza, E. P. Madumla, E. Mbeyela, G. Lingamba, J. Moore, A. J. Ntamatungro, D. R. Kavishe, S. J. Moore","Implications of bio-efficacy and persistence of insecticides when indoor residual spraying and longlasting insecticide nets are combined for malaria prevention","Background: Bio-efficacy and residual activity of insecticides used for indoor residual spraying (IRS) and long-lasting insecticide nets (LLINs) were assessed against laboratory-reared and wild populations of the malaria vector, Anopheles arabiensis in south eastern Tanzania. Implications of the findings are examined in the context of potential synergies and redundancies where IRS and LLINs are combined. Methods: Bioassays were conducted monthly for six months on three LLIN types (Olyset PermaNet 2.0, and Icon Life) and three IRS treatments (2 g/m 2 pirimiphos-methyl, 2 g/m 2 DDT and 0.03 g/m 2 lambda-cyhalothrin, sprayed on mud walls and palm ceilings of experimental huts). Tests used susceptible laboratory-reared An. arabiensis exposed in cones (nets and IRS) or wire balls (nets only). Susceptibility of wild populations was assessed using WHO diagnostic concentrations and PCR for knock-down resistance ( kdr) genes. Results: IRS treatments killed ?85% of mosquitoes exposed on palm ceilings and ?90% of those exposed on mud walls, but up to 50% of this toxicity decayed within 1-3 months, except for DDT. By 6th month, only 7.5%, 42.5% and 30.0% of mosquitoes died when exposed to ceilings sprayed with pirimiphos-methyl, DDT or lambda-cyhalothrin respectively, while 12.5%, 36.0% and 27.5% died after exposure to mud walls sprayed with the same insecticides. In wire-ball assays, mortality decreased from 98.1% in 1st month to 92.6% in 6th month in tests on PermaNet 2.0, from 100% to 61.1% on Icon Life and from 93.2% to 33.3% on Olyset nets. In cone bioassays, mortality reduced from 92.8% in 1st month to 83.3% in 6th month on PermaNet 2.0, from 96.9% to 43.80% on Icon Life and from 85.6% to 14.6% on Olyset. Wild An. arabiensis were 100% susceptible to DDT, 95.8% to deltamethrin, 90.2% to lambda cyhalothrin and 95.2% susceptible to permethrin. No kdr gene mutations were detected. Conclusions: In bioassays where sufficient contact with treated surfaces is assured, LLINs and IRS kill high proportions of susceptible An. arabiensis mosquitoes, though these efficacies decay gradually for LLINs and rapidly for IRS. It is, therefore, important to always add intact nets in sprayed houses, guaranteeing protection even after the IRS decays, and to ensure accurate timing, quality control and regular re-spraying in IRS programmes. By contrast, adding IRS in houses with intact LLINs is unlikely to improve protection relative to LLINs alone, since there is no guarantee that unfed vectors would rest long enough on the sprayed surfaces, and because of the rapid IRS decay. However, there is need to clarify these effects using data from observations of free flying mosquitoes in huts. Physiological susceptibility of An. arabiensis in the area remains 100% against DDT, but is slightly reduced against pyrethroids, necessitating caution over possible spread of resistance. The loss of LLIN toxicity, particularly Olyset nets suggests that protection offered by these nets against An. arabiensis may be primarily due to physical bite prevention rather than insecticidal efficacy.",2012,thomas.rosendal,4,"Not applicable (vector study)",Humans
14196," Dryden MichaelW, et al. 2012."," Michael W. Dryden, Vicki Smith, Bruce Kunkle, Doug Carithers","A Study to Evaluate the Acaricidal Efficacy of a Single Topical Treatment with a Topical Combination of Fipronil/Amitraz/(S)-Methoprene Against Dermacentor Variabilis on Dogs","The objective of the study was to confirm the acaricidal efficacy of a single topical treatment of the combination of fipronil/amitrazi(S)-methoprene (CERTIFECT(R)) against induced infestations of Dermacentor variabilis. Sixteen healthy mixed breed mongrels (8 males and 8 females), approximately 9.6 to 13.7 months of age on Day 0, and weighing 16.2 to 33.4 lbs, were selected from a group of 20 dogs based on Day -1 pre-treatment tick counts to be utilized in this randomized, blinded efficacy study. Eight dogs were randomly assigned to one of the two treatment groups: Group 1 - placebo (vehicle), Group 2 - fipronil/amitraz/(S)-methoprene (delivering at least 6.7mg fipronil/kg body weight (bw), 8.0 mg amitraz/kg bw, and 6.0 mg (S)-methoprene/kg bw). The vehicle or treatment was applied directly onto the skin at two separate spots on the neck of each dog, once on Day 0, per label dose and directions for use. All dogs were infested with 50 (+/- 5) unfed adult D. variabilis on Day 1, then weekly on Days 7, 14, 21, 28, and 35. Ticks were thumb counted at 24 (+/- 3) hours following each tick infestation and subsequently were counted and removed from each dog at 48 (+/- 3) hours after tick infestation. Thumb counts were performed on all dogs at 24 hours following each infestation. Efficacies on Days 2, 8, 15, 22, 29, and 36 were 98.6, 100, 99.7, 96.6, 86.6, and 90.1%, respectively. All dogs treated with the fipronil/amitraz/(S)-methoprene product had significantly (p<0.05) fewer ticks than placebo (vehicle-treated) control animals. Removal counts were performed at 48 hours after each infestation. Efficacies for Days 3, 9, 16, 23, 30, and 37 were 100, 100, 100, 100, 99.4, and 97.2%, respectively. Again, all dogs treated with the fipronil/amitraz/(S)-methoprene product had significantly (p<0.05) fewer ticks than placebo (vehicle-treated) control animals. No treatment related adverse events were observed during the study, including during four observations performed within 5 hours post-treatment. The results of this study confirm rapid and effective control of D. variabilis ticks on CERTIFECT-treated dogs.",2012,ann.lindberg,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
14201," Kunkle BN, et al. 2012."," B. N. Kunkle, W. R. Everett, S. S. Yoon, F. Beugnet, M. Pollmeier","Comparative Curative Efficacy of Two Spot On Formulations, Fipronil/Amitraz/(S)-Methoprene and Imidacloprid/Permethrin, on Two Tick Species in Dogs","This study compared the acaricidal efficacy of a new spot-on formulation of fipronil + amitraz + (S) methoprene (CERTIFECT (TM)) and imidacloprid + permethrin (K9 ADVANTIX (R)) against a mixed infestation of Rhipicephalus sanguineus, the brown dog tick, and Dermacentor variabilis, the American dog tick. Twenty-four mixed-breed dogs (15 males and 9 females) weighing 10.7 to 24.9 kg and ranging from 1.4 to 13.8 years of age were divided into three groups of eight dogs. Group 1 was the untreated control group. On Day 0 dogs in Group 2 were treated with CERTIFECT and Group 3 dogs were treated with K9 ADVANTIX. All dogs were infested pre-treatment with 50 unfed R. sanguineus (Day -2) and 50 unfed D. variabilis (Day -1). The ticks were thumb counted 24 hours post-treatment and removed and counted 48 hrs post-treatment. The curative efficacy of CERTIFECT against R. sanguineus was 82.4% at 24 hrs and 99.1% at 48 hrs, while K9 ADVANTIX curative efficacy was 44.6% at 24 hrs and 75.8% at 48 hrs. Similarly, the percent reduction of D. variabilis was 86.0% at 24 hrs and 100.0% at 48 hrs for CERTIFECT and 50.0% at 24 hrs and 75.0% at 48 hrs for K9 ADVANTIX (R). CERTIFECT was significantly (P < 0.05) more efficacious in reducing the number of R. sanguineus and D. variabilis both at 24 and 48 hours post-treatment when compared to K9 ADVANTIX.",2012,ann.lindberg,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
14202," Kunkle BN, et al. 2012."," B. N. Kunkle, W. R. Everett, S. S. Yoon, F. Beugnet, M. Pollmeier","Study of the Sustained Speed of Kill of the Combination Fipronil/Amitraz/(S)-methoprene and the Combination Imidacloprid/Permethrin Against Newly Acquired Dermacentor variabilis (American Dog rilick)","The acaricidal efficacy of the commercial topical combination of fipronil/amitraz/(S)methoprene (CERTIFECT (TM)) and imidacloprid/permethrin (K9 ADVANTIX (R)) was evaluated against Dermacentor variabilis. The study was conducted with three treatment groups comprised of eight mixed breed dogs per group. Group I was the untreated control group; Group 2 was the CERTIFECT treated group, and Group 3 was the K9 ADVANTIX treated group. Each treatment was administered topically once on Day 0, according to the recommended label dose and instructions for use. All dogs were infested weekly beginning on Day 7 with 50 adult unfed D. variabilis over a period of 6 weeks. Ticks were counted 24 hours after each infestation. The percent reduction in the number of ticks by CERTIFECT ranged from 100% to 92.8% when compared to untreated controls for all 6 weekly infestations. The percent reduction for K9 ADVANTIX ranged from 98.2% to 58.8%. CERTIFECT treated dogs had significantly (P<0.05) fewer ticks than K9 ADVANTIX treated dogs at 24h counts at weeks 1, 3, 4, 5, and 6 assessments.",2012,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
14207," Jordan RobertA, et al. 2012."," Robert A. Jordan, Terry L. Schulze, Marc C. Dolan","Efficacy of Plant-Derived and Synthetic Compounds on Clothing as Repellents Against Ixodes scapularis and Amblyomma americanum (Acari: Ixodidae)","We conducted field trials to compare the relative repellent activity of two natural product compounds (nootkatone and carvacrol) with commercially available plant-derived (EcoSMART organic insect repellent) and permethrin-based (Repel Permanone) repellents against adult Ixodes scapularis Say and Amblyomma americanum (L.) (Acari: Ixodidae) by using treated coveralls. One day after treatment, nootkatone and carvacrol provided 100% repellency of I. scapularis adults, with nootkatone maintaining complete protection through 3 d, whereas carvacrol showed steadily declining repellency against I. scapularis during the 7-d course of the trials. Nootkatone was at least as effective against host-seeking A. americanum as against I. scapularis through 3 d. Carvacrol provided little protection against A. americanum adults. Both natural compounds performed well initially in comparison with the commercial products. After 7 d, nootkatone was the most effective against both species followed in order of activity by Permanone, EcoSMART, and carvacrol. Nootkatone seems to have offer considerable potential as a clothing repellent against both I. scapularis and A. americanum.",2012,Fernanda.dorea,4,"Not applicable (vector study)",Humans
14222," Fourie JJ, et al. 2011."," J. J. Fourie, F. Beugnet, C. Ollagnier, M. G. Pollmeier","STUDY OF THE SUSTAINED SPEED OF KILL OF THE COMBINATION OF FIPRONIL/AMITRAZ/(S)-METHOPRENE AND THE COMBINATION OF IMIDACLOPRIID/PERMETHRIN AGAINST DERMACENTOR RETICULATUS, THE EUROPEAN DOG TICK","The sustained speed of kill against Dermacentor reticulatus of two topical combinations, one containing fipronil/amitraz/(S)-methoprene and the other, imidacloprid/permethrin, was evaluated in dogs. Two treated groups and one untreated control group of eight adult Beagle dogs each were randomly formed based on pre-infestation rates and bodyweight. Each treatment was administered topically once on Day 0, according to the recommended label dose and instructions for use. All dogs were infested with 50 adult unfed D. reticulatus starting on Day 1, then weekly, for a total of five weeks. While most studies determine tick efficacy at 48 hours (h), in this study, all remaining ticks were counted and categorized 24 h following each infestation. The numbers of ticks (living or dead) that remained attached on treated dogs were compared to those on the control animals. The percent reduction of attached ticks (disruption of attachment) at 24 h on dogs treated with fipronil/amitraz/(S)methoprene remained above 92 % for four weeks. The reduction of attached ticks at 24 h on dogs treated with imidacloprid/permethrin did not reach 80 % during the entire study. The number of ticks attached at 24 h was significantly (p < 0.05) lower in the fipronil/amitraz/(S)-methoprene group than in the imidacloprid/permethrin group in assessments on Days 2, 15, 22, 29 and 36. When assessing efficacy based upon live ticks on treated versus control dogs, fipronil/amitraz/(S)-methoprene 24 h efficacy was above 95 % for four weeks, decreasing to 77.8 % at Day 36. The 24 h efficacy of imidacloprid/permethrin ranged from 56.2 % to 86.7 % through Day 29, never achieving 90 % throughout the study. The 24-hour efficacy of fipronil/amitraz/(S)-methoprene was significantly (p < 0.05) higher than imidacloprid/permethrin at all time points, including Day 36.",2011,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
14223," Webster MC, et al. 2011."," M. C. Webster, P. Fisara, R. M. Sargent","Long-term efficacy of a deltamethrin-impregnated collar for the control of the Australian paralysis tick, Ixodes holocyclus, on dogs","Objective To determine the duration of efficacy of a 4% deltamethrin-impregnated collar for dogs (Scalibor (R) Protector-Band, MSD Animal Health) against adult female paralysis ticks (Ixodes holocyclus). Procedures A controlled pen study was conducted. Dogs were artificially infested at 14-day intervals with unfed adult female ticks for up to 140 days following application of the collar to the dogs. Efficacy was assessed by manually counting ticks on dogs at 24, 48 and 72 h after each infestation. Results Efficacy at the 72-h count was 96% after the day 14 tick infestation. The 72-h efficacy remained above 94% from the day 14 to the day 98 infestations, when efficacy was still 99.5%. Efficacy at 72 h was above 90% after the day 112 infestation and was still 93% at 72 h after the day 140 infestation. Conclusions The deltamethrin-impregnated collar gave greater than 90% control of paralysis ticks for at least 14 weeks.",2011,Fernanda.dorea,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
